ICDVersion;SeqType;SiterecwithKM;Deathcodes-ignoring4thdigit;Deathcodes-requiring4thdigit;Label
1;0;20010;B20,B22-B24; ;Lip
1;0;20020;B20,B22-B24; ;Tongue
1;0;20030;B20,B22-B24; ;SalivaryGland
1;0;20040;B20,B22-B24; ;FloorofMouth
1;0;20050;B20,B22-B24; ;GumandOtherMouth
1;0;20060;B20,B22-B24; ;Nasopharynx
1;0;20070;B20,B22-B24; ;Tonsil
1;0;20080;B20,B22-B24; ;Oropharynx
1;0;20090;B20,B22-B24; ;Hypopharynx
1;0;20100;B20,B22-B24; ;OtherOralCavityandPharynx
1;0;21010;K20-K31,K51-K57,K92; ;Esophagus
1;0;21020;K20-K31,K51-K57,K92; ;Stomach
1;0;21030;K20-K31,K35-K63,K90-K93; ;SmallIntestine
1;0;21041;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;Cecum
1;0;21042;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;Appendix
1;0;21043;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;AscendingColon
1;0;21044;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;HepaticFlexure
1;0;21045;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;TransverseColon
1;0;21046;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;SplenicFlexure
1;0;21047;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;DescendingColon
1;0;21048;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;SigmoidColon
1;0;21049;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;LargeIntestine,NOS
1;0;21051;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;RectosigmoidJunction
1;0;21052;K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92; ;Rectum
1;0;21060;B20,B22-B24,K20-K31,K51-K57,K62,K92; ;Anus,AnalCanalandAnorectum
1;0;21071;K20-K31,K51-K57,K70-K76,K92; ;Liver
1;0;21072;K20-K31,K51-K57,K70-K76,K92; ;IntrahepaticBileDuct
1;0;21080;K20-K31,K51-K57,K80-K83,K92; ;Gallbladder
1;0;21090;K20-K31,K51-K57,K80-K83,K92; ;OtherBiliary
1;0;21100;K20-K31,K51-K57,K80-K83,K85-K86,K92; ;Pancreas
1;0;21110;K20-K31,K51-K57,K92; ;Retroperitoneum
1;0;21120;K20-K31,K51-K57,K92; ;Peritoneum,OmentumandMesentery
