ICDVersion;SeqType;Siterec2023;Deathcodes-ignoring4thdigit;Deathcodes-requiring4thdigit;Label
8;0;16;530-537,560-562;4442,5631,5699,7845,7857,9909;Esophagus
8;0;17;530-537,560-562;4442,5631,5699,7845,7857,9909;Stomach
8;0;18;530-537,560-562;4442,5631,5699,7845,7857,9909;Small Intestine
8;0;19;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;Appendix
8;0;20;530-543,560-562,568-569;4442,5631,5679,7845,7857,9909;Colon And Rectum (Excluding Appendix)
8;0;21;530-537,560-562,569;4442,5631,7845,7857,9909;Anus, Anal Canal And Anorectum
8;0;22;530-537,560-562,570-573;4442,5631,5699,7845,7857,9909;Liver
8;0;23;530-537,560-562,570-573;4442,5631,5699,7845,7857,9909;Intrahepatic Bile Duct
8;0;24;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;Gallbladder
8;0;25;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;Extrahepatic Bile Ducts
8;0;26;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;Ampulla Of Vater
8;0;27;530-537,560-562,574-576;4442,5631,5699,7845,7857,9909,9989;Biliary Other
8;0;28;530-537,560-562,577;4442,5631,5699,7845,7857,9909;Pancreas
8;0;29;530-537,560-562;4442,5631,5699,7845,7857,9909;Digestive Other
8;0;35;530-537,560-562;4442,5631,5699,7845,7857,9909;Retroperitoneum And Peritoneum
8;0;38; ;7572;Other Non-Epithelial Skin
8;0;39;610,611;7867;Breast
8;0;40;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vulva
8;0;41;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Vagina
8;0;42;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Cervix
8;0;43;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Corpus
8;0;44;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Ovary
8;0;45;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Fallopian Tube
8;0;46;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Adnexa Other And Genital Female Other
8;0;47;612-614,620,622,624-625;5960,6077,6150,6152-6159,6160-6161,6169,6230,6233-6239,6266,6299;Placenta
8;0;48;600-607;7866;Penis
8;0;49;600-607;7866;Prostate
8;0;50;600-607;7866;Testis
8;0;51;600-607;7866;Genital Male Other
8;0;52;580,582,599;4443,5931-5935;Kidney Parenchyma
8;0;53;580,582,599;4443,5931-5935;Kidney Renal Pelvis
8;0;54;580,582;5931,5932;Ureter
8;0;55;580,582,599;4443,5931-5935;Urinary Bladder
8;0;56;580,582,600;5931,5932;Urethra
8;0;57;580,582,600;5931,5932;Urinary Other
8;0;63; ;2419;Thyroid
8;0;67;279;6959,7434,7572;Precursor Lymphoid Neoplasms
8;0;68;279;6959,7434,7572;Chronic lymphocytic leukemia (CLL)/Small lymphocytic lymphoma
8;0;69;279;6959,7572;Hodgkin Lymphomas
8;0;70;279;6959,7572;Non-Hodgkin Lymphomas
8;0;71;279;6959,7434,7572;Lymphoid Leukemias (excluding CLL/SLL)
8;0;72;279;6959,7434,7572;Acute Myeloid Leukemias
8;0;73;279;6959,7434,7572;Other Leukemias
8;0;74;279; ;Plasma Cell Neoplasms and Immunoproliferative Diseases
8;0;75;279; ;Myeloproliferative Neoplasms and Myelodysplastic Syndromes
8;0;76;279;6959,7434,7572;Miscellaneous Hematopoietic Neoplasms
8;0;78; ;7572;Kaposi Sarcoma
8;0;79;284;2759,7572;Miscellaneous Neoplasms
8;0;80;284;2759,7572;In situ neoplasms
8;0;82;284;2759,7572;Benign and Borderline: All Other sites
8;1-59;01;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Lip
8;1-59;02;140-149,210,215;1602-1609,1700,1710,1719,1730,1733,1734,1739,1959,2169,2303,2305,2307,2309,2310,2311,2313,2315,2322,2390;Tongue Anterior
