"State","County","Census2010","PovertyIndicator"
"AL","001","020100","2"
"AL","001","020200","1"
"AL","001","020300","3"
"AL","001","020400","1"
"AL","001","020500","2"
"AL","001","020600","2"
"AL","001","020700","1"
"AL","001","020801","3"
"AL","001","020802","3"
"AL","001","020900","1"
"AL","001","021000","3"
"AL","001","021100","3"
"AL","003","010100","1"
"AL","003","010200","4"
"AL","003","010300","2"
"AL","003","010400","3"
"AL","003","010500","3"
"AL","003","010600","4"
"AL","003","010701","1"
"AL","003","010703","1"
"AL","003","010704","3"
"AL","003","010705","3"
"AL","003","010800","3"
"AL","003","010903","3"
"AL","003","010904","3"
"AL","003","010905","3"
"AL","003","010906","3"
"AL","003","011000","4"
"AL","003","011101","2"
"AL","003","011102","1"
"AL","003","011201","4"
"AL","003","011202","2"
"AL","003","011300","3"
"AL","003","011401","3"
"AL","003","011403","2"
"AL","003","011405","2"
"AL","003","011406","1"
"AL","003","011407","4"
"AL","003","011408","2"
"AL","003","011501","3"
"AL","003","011502","4"
"AL","003","011601","4"
"AL","003","011602","2"
"AL","003","990000","9"
"AL","005","950100","4"
"AL","005","950200","4"
"AL","005","950300","4"
"AL","005","950400","3"
"AL","005","950500","3"
"AL","005","950600","1"
"AL","005","950700","4"
"AL","005","950800","3"
"AL","005","950900","4"
"AL","007","010001","2"
"AL","007","010002","4"
"AL","007","010003","3"
"AL","007","010004","3"
"AL","009","050101","3"
"AL","009","050102","3"
"AL","009","050200","3"
"AL","009","050300","4"
"AL","009","050400","4"
"AL","009","050500","4"
"AL","009","050601","3"
"AL","009","050602","2"
"AL","009","050700","3"
"AL","011","952100","4"
"AL","011","952200","4"
"AL","011","952500","4"
"AL","013","952700","4"
"AL","013","952800","4"
"AL","013","952900","4"
"AL","013","953000","1"
"AL","013","953100","1"
"AL","013","953200","4"
"AL","013","953300","3"
"AL","013","953400","4"
"AL","013","953500","4"
"AL","015","000200","4"
"AL","015","000300","4"
"AL","015","000400","4"
"AL","015","000500","4"
"AL","015","000600","2"
"AL","015","000700","4"
"AL","015","000800","4"
"AL","015","000900","4"
"AL","015","001000","2"
"AL","015","001100","1"
"AL","015","001201","1"
"AL","015","001202","2"
"AL","015","001300","1"
"AL","015","001400","3"
"AL","015","001500","3"
"AL","015","001600","4"
"AL","015","001700","2"
"AL","015","001800","3"
"AL","015","002000","3"
"AL","015","002101","4"
"AL","015","002102","3"
