"State","County"
AL,001
AL,003
AL,005
AL,007
AL,009
AL,011
AL,013
AL,015
AL,017
AL,019
AL,021
AL,023
AL,025
AL,027
AL,029
AL,031
AL,033
AL,035
AL,037
AL,039
AL,041
AL,043
AL,045
AL,047
AL,049
AL,051
AL,053
AL,055
AL,057
AL,059
AL,061
AL,063
AL,065
AL,067
AL,069
AL,071
AL,073
AL,075
AL,077
AL,079
AL,081
AL,083
AL,085
AL,087
AL,089
AL,091
AL,093
AL,095
AL,097
AL,099
AL,101
AL,103
AL,105
AL,107
AL,109
AL,111
AL,113
AL,115
AL,117
AL,119
AL,121
AL,123
AL,125
AL,127
AL,129
AL,131
AL,133
AL,999
AK,013
AK,016
AK,020
AK,050
AK,060
AK,068
AK,070
AK,090
AK,100
AK,105
AK,110
AK,122
AK,130
AK,150
AK,164
AK,170
AK,180
AK,185
AK,188
AK,195
AK,198
AK,201
AK,220
AK,230
AK,231
AK,232
AK,240
AK,261
AK,270
AK,275
AK,280
AK,282
AK,290
AK,900
AK,999
AZ,001
AZ,003
AZ,005
AZ,007
AZ,009
AZ,011
AZ,013
AZ,015
AZ,017
AZ,019
AZ,021
AZ,023
AZ,025
AZ,012
AZ,027
AZ,910
AZ,999
AR,001
AR,003
AR,005
AR,007
AR,009
AR,011
AR,013
AR,015
AR,017
AR,019
AR,021
AR,023
AR,025
AR,027
AR,029
AR,031
AR,033
AR,035
AR,037
AR,039
AR,041
AR,043
AR,045
AR,047
AR,049
AR,051
AR,053
AR,055
AR,057
AR,059
AR,061
AR,063
AR,065
AR,067
AR,069
AR,071
AR,073
AR,075
AR,077
AR,079
AR,081
AR,083
AR,085
AR,087
AR,089
AR,091
AR,093
AR,095
AR,097
AR,099
AR,101
AR,103
AR,105
AR,107
AR,109
AR,111
AR,113
AR,115
AR,117
AR,119
AR,121
AR,123
AR,125
AR,127
AR,129
AR,131
AR,133
AR,135
AR,137
AR,139
AR,141
AR,143
AR,145
AR,147
AR,149
AR,999
CA,001
GC,001
LO,001
GB,001
CA,003
GC,003
LO,003
GB,003
CA,005
GC,005
LO,005
GB,005
CA,007
GC,007
LO,007
GB,007
CA,009
GC,009
LO,009
GB,009
CA,011
GC,011
LO,011
GB,011
CA,013
GC,013
LO,013
GB,013
CA,015
GC,015
LO,015
GB,015
CA,017
GC,017
LO,017
GB,017
CA,019
GC,019
LO,019
GB,019
CA,021
GC,021
LO,021
GB,021
CA,023
GC,023
LO,023
GB,023
CA,025
GC,025
LO,025
GB,025
CA,027
GC,027
LO,027
GB,027
CA,029
GC,029
LO,029
GB,029
CA,031
GC,031
LO,031
GB,031
CA,033
GC,033
LO,033
GB,033
CA,035
GC,035
LO,035
GB,035
CA,037
GC,037
LO,037
GB,037
CA,039
GC,039
LO,039
GB,039
CA,041
GC,041
LO,041
GB,041
CA,043
GC,043
LO,043
GB,043
CA,045
GC,045
LO,045
GB,045
CA,047
GC,047
LO,047
GB,047
CA,049
GC,049
LO,049
GB,049
CA,051
GC,051
LO,051
GB,051
CA,053
GC,053
LO,053
GB,053
CA,055
GC,055
LO,055
GB,055
CA,057
GC,057
LO,057
GB,057
CA,059
GC,059
LO,059
GB,059
CA,061
GC,061
LO,061
GB,061
CA,063
GC,063
LO,063
GB,063
CA,065
GC,065
LO,065
GB,065
CA,067
GC,067
LO,067
GB,067
CA,069
GC,069
LO,069
GB,069
CA,071
GC,071
LO,071
GB,071
CA,073
GC,073
LO,073
GB,073
CA,075
GC,075
LO,075
GB,075
CA,077
GC,077
LO,077
GB,077
CA,079
GC,079
LO,079
GB,079
CA,081
GC,081
LO,081
GB,081
CA,083
GC,083
LO,083
GB,083
CA,085
GC,085
LO,085
GB,085
CA,087
GC,087
LO,087
GB,087
CA,089
GC,089
LO,089
GB,089
CA,091
GC,091
LO,091
GB,091
CA,093
GC,093
LO,093
GB,093
CA,095
GC,095
LO,095
GB,095
CA,097
GC,097
LO,097
GB,097
CA,099
GC,099
LO,099
GB,099
CA,101
GC,101
LO,101
GB,101
CA,103
GC,103
LO,103
GB,103
CA,105
GC,105
LO,105
GB,105
CA,107
GC,107
LO,107
GB,107
CA,109
GC,109
LO,109
GB,109
CA,111
GC,111
LO,111
GB,111
CA,113
GC,113
LO,113
GB,113
CA,115
GC,115
LO,115
GB,115
CA,006
GC,006
LO,006
GB,006
CA,999
GC,999
LO,999
GB,999
CO,001
CO,003
CO,005
CO,007
CO,009
CO,011
CO,014
CO,015
CO,017
CO,019
CO,021
CO,023
CO,025
CO,027
CO,029
CO,031
CO,033
CO,035
CO,037
CO,039
CO,041
CO,043
CO,045
CO,047
CO,049
CO,051
CO,053
CO,055
CO,057
CO,061
CO,063
CO,065
CO,067
CO,069
CO,071
CO,073
CO,075
CO,077
CO,079
CO,081
CO,083
CO,085
CO,087
CO,089
CO,091
CO,093
CO,095
CO,097
CO,099
CO,101
CO,103
CO,105
CO,107
CO,109
CO,111
CO,113
CO,115
CO,117
CO,119
CO,121
CO,125
CO,013
CO,059
CO,123
CO,910
CO,999
CT,001
CT,003
CT,005
CT,007
CT,009
CT,011
CT,013
CT,015
CT,999
DE,001
DE,003
DE,005
DE,999
DC,001
FL,001
FL,003
FL,005
FL,007
FL,009
FL,011
FL,013
FL,015
FL,017
FL,019
FL,021
FL,023
FL,025
FL,027
FL,029
FL,031
FL,033
FL,035
FL,037
FL,039
FL,041
FL,043
FL,045
FL,047
FL,049
FL,051
FL,053
FL,055
FL,057
FL,059
FL,061
FL,063
FL,065
FL,067
FL,069
FL,071
FL,073
FL,075
FL,077
FL,079
FL,081
FL,083
FL,085
FL,086
FL,087
FL,089
FL,091
FL,093
FL,095
FL,097
FL,099
FL,101
FL,103
FL,105
FL,107
FL,109
FL,111
FL,113
FL,115
FL,117
FL,119
FL,121
FL,123
FL,125
FL,127
FL,129
FL,131
FL,133
FL,999
GA,001
AT,001
GA,003
AT,003
GA,005
AT,005
GA,007
AT,007
GA,009
AT,009
GA,011
AT,011
GA,013
AT,013
GA,015
AT,015
GA,017
AT,017
GA,019
AT,019
GA,021
AT,021
GA,023
AT,023
GA,025
AT,025
GA,027
AT,027
GA,029
AT,029
GA,031
AT,031
GA,033
AT,033
GA,035
AT,035
GA,037
AT,037
GA,039
AT,039
GA,043
AT,043
GA,045
AT,045
GA,047
AT,047
GA,049
AT,049
GA,051
AT,051
GA,053
AT,053
GA,055
AT,055
GA,057
AT,057
GA,059
AT,059
GA,061
AT,061
GA,063
AT,063
GA,065
AT,065
GA,067
AT,067
GA,069
AT,069
GA,071
AT,071
GA,073
AT,073
GA,075
AT,075
GA,077
AT,077
GA,079
AT,079
GA,081
AT,081
GA,083
AT,083
GA,085
AT,085
GA,087
AT,087
GA,089
AT,089
GA,091
AT,091
GA,093
AT,093
GA,095
AT,095
GA,097
AT,097
GA,099
AT,099
GA,101
AT,101
GA,103
AT,103
GA,105
AT,105
GA,107
AT,107
GA,109
AT,109
GA,111
AT,111
GA,113
AT,113
GA,115
AT,115
GA,117
AT,117
GA,119
AT,119
GA,121
AT,121
GA,123
AT,123
GA,125
AT,125
GA,127
AT,127
GA,129
AT,129
GA,131
AT,131
GA,133
AT,133
GA,135
AT,135
GA,137
AT,137
GA,139
AT,139
GA,141
AT,141
GA,143
AT,143
GA,145
AT,145
GA,147
AT,147
GA,149
AT,149
GA,151
AT,151
GA,153
AT,153
GA,155
AT,155
GA,157
AT,157
GA,159
AT,159
GA,161
AT,161
GA,163
AT,163
GA,165
AT,165
GA,167
AT,167
GA,169
AT,169
GA,171
AT,171
GA,173
AT,173
GA,175
AT,175
GA,177
AT,177
GA,179
AT,179
GA,181
AT,181
GA,183
AT,183
GA,185
AT,185
GA,187
AT,187
GA,189
AT,189
GA,191
AT,191
GA,193
AT,193
GA,195
AT,195
GA,197
AT,197
GA,199
AT,199
GA,201
AT,201
GA,205
AT,205
GA,207
AT,207
GA,209
AT,209
GA,211
AT,211
GA,213
AT,213
GA,215
AT,215
GA,217
AT,217
GA,219
AT,219
GA,221
AT,221
GA,223
AT,223
GA,225
AT,225
GA,227
AT,227
GA,229
AT,229
GA,231
AT,231
GA,233
AT,233
GA,235
AT,235
GA,237
AT,237
GA,239
AT,239
GA,241
AT,241
GA,243
AT,243
GA,245
AT,245
GA,247
AT,247
GA,249
AT,249
GA,251
AT,251
GA,253
AT,253
GA,255
AT,255
GA,257
AT,257
GA,259
AT,259
GA,261
AT,261
GA,263
AT,263
GA,265
AT,265
GA,267
AT,267
GA,269
AT,269
GA,271
AT,271
GA,273
AT,273
GA,275
AT,275
GA,277
AT,277
GA,279
AT,279
GA,281
AT,281
GA,283
AT,283
GA,285
AT,285
GA,287
AT,287
GA,289
AT,289
GA,291
AT,291
GA,293
AT,293
GA,295
AT,295
GA,297
AT,297
GA,299
AT,299
GA,301
AT,301
GA,303
AT,303
GA,305
AT,305
GA,307
AT,307
GA,309
AT,309
GA,311
AT,311
GA,313
AT,313
GA,315
AT,315
GA,317
AT,317
GA,319
AT,319
GA,321
AT,321
GA,999
AT,999
HI,001
HI,003
HI,005
HI,007
HI,009
HI,900
HI,999
ID,001
ID,003
ID,005
ID,007
ID,009
ID,011
ID,013
ID,015
ID,017
ID,019
ID,021
ID,023
ID,025
ID,027
ID,029
ID,031
ID,033
ID,035
ID,037
ID,039
ID,041
ID,043
ID,045
ID,047
ID,049
ID,051
ID,053
ID,055
ID,057
ID,059
ID,061
ID,063
ID,065
ID,067
ID,069
ID,071
ID,073
ID,075
ID,077
ID,079
ID,081
ID,083
ID,085
ID,087
ID,999
IL,001
IL,003
IL,005
IL,007
IL,009
IL,011
IL,013
IL,015
IL,017
IL,019
IL,021
IL,023
IL,025
IL,027
IL,029
IL,031
IL,033
IL,035
IL,037
IL,039
IL,041
IL,043
IL,045
IL,047
IL,049
IL,051
IL,053
IL,055
IL,057
IL,059
IL,061
IL,063
IL,065
IL,067
IL,069
IL,071
IL,073
IL,075
IL,077
IL,079
IL,081
IL,083
IL,085
IL,087
IL,089
IL,091
IL,093
IL,095
IL,097
IL,099
IL,101
IL,103
IL,105
IL,107
IL,109
IL,111
IL,113
IL,115
IL,117
IL,119
IL,121
IL,123
IL,125
IL,127
IL,129
IL,131
IL,133
IL,135
IL,137
IL,139
IL,141
IL,143
IL,145
IL,147
IL,149
IL,151
IL,153
IL,155
IL,157
IL,159
IL,161
IL,163
IL,165
IL,167
IL,169
IL,171
IL,173
IL,175
IL,177
IL,179
IL,181
IL,183
IL,185
IL,187
IL,189
IL,191
IL,193
IL,195
IL,197
IL,199
IL,201
IL,203
IL,999
IN,001
IN,003
IN,005
IN,007
IN,009
IN,011
IN,013
IN,015
IN,017
IN,019
IN,021
IN,023
IN,025
IN,027
IN,029
IN,031
IN,033
IN,035
IN,037
IN,039
IN,041
IN,043
IN,045
IN,047
IN,049
IN,051
IN,053
IN,055
IN,057
IN,059
IN,061
IN,063
IN,065
IN,067
IN,069
IN,071
IN,073
IN,075
IN,077
IN,079
IN,081
IN,083
IN,085
IN,087
IN,089
IN,091
IN,093
IN,095
IN,097
IN,099
IN,101
IN,103
IN,105
IN,107
IN,109
IN,111
IN,113
IN,115
IN,117
IN,119
IN,121
IN,123
IN,125
IN,127
IN,129
IN,131
IN,133
IN,135
IN,137
IN,139
IN,141
IN,143
IN,145
IN,147
IN,149
IN,151
IN,153
IN,155
IN,157
IN,159
IN,161
IN,163
IN,165
IN,167
IN,169
IN,171
IN,173
IN,175
IN,177
IN,179
IN,181
IN,183
IN,999
IA,001
IA,003
IA,005
IA,007
IA,009
IA,011
IA,013
IA,015
IA,017
IA,019
IA,021
IA,023
IA,025
IA,027
IA,029
IA,031
IA,033
IA,035
IA,037
IA,039
IA,041
IA,043
IA,045
IA,047
IA,049
IA,051
IA,053
IA,055
IA,057
IA,059
IA,061
IA,063
IA,065
IA,067
IA,069
IA,071
IA,073
IA,075
IA,077
IA,079
IA,081
IA,083
IA,085
IA,087
IA,089
IA,091
IA,093
IA,095
IA,097
IA,099
IA,101
IA,103
IA,105
IA,107
IA,109
IA,111
IA,113
IA,115
IA,117
IA,119
IA,121
IA,123
IA,125
IA,127
IA,129
IA,131
IA,133
IA,135
IA,137
IA,139
IA,141
IA,143
IA,145
IA,147
IA,149
IA,151
IA,153
IA,155
IA,157
IA,159
IA,161
IA,163
IA,165
IA,167
IA,169
IA,171
IA,173
IA,175
IA,177
IA,179
IA,181
IA,183
IA,185
IA,187
IA,189
IA,191
IA,193
IA,195
IA,197
IA,999
KS,001
KS,003
KS,005
KS,007
KS,009
KS,011
KS,013
KS,015
KS,017
KS,019
KS,021
KS,023
KS,025
KS,027
KS,029
KS,031
KS,033
KS,035
KS,037
KS,039
KS,041
KS,043
KS,045
KS,047
KS,049
KS,051
KS,053
KS,055
KS,057
KS,059
KS,061
KS,063
KS,065
KS,067
KS,069
KS,071
KS,073
KS,075
KS,077
KS,079
KS,081
KS,083
KS,085
KS,087
KS,089
KS,091
KS,093
KS,095
KS,097
KS,099
KS,101
KS,103
KS,105
KS,107
KS,109
KS,111
KS,113
KS,115
KS,117
KS,119
KS,121
KS,123
KS,125
KS,127
KS,129
KS,131
KS,133
KS,135
KS,137
KS,139
KS,141
KS,143
KS,145
KS,147
KS,149
KS,151
KS,153
KS,155
KS,157
KS,159
KS,161
KS,163
KS,165
KS,167
KS,169
KS,171
KS,173
KS,175
KS,177
KS,179
KS,181
KS,183
KS,185
KS,187
KS,189
KS,191
KS,193
KS,195
KS,197
KS,199
KS,201
KS,203
KS,205
KS,207
KS,209
KS,999
KY,001
KY,003
KY,005
KY,007
KY,009
KY,011
KY,013
KY,015
KY,017
KY,019
KY,021
KY,023
KY,025
KY,027
KY,029
KY,031
KY,033
KY,035
KY,037
KY,039
KY,041
KY,043
KY,045
KY,047
KY,049
KY,051
KY,053
KY,055
KY,057
KY,059
KY,061
KY,063
KY,065
KY,067
KY,069
KY,071
KY,073
KY,075
KY,077
KY,079
KY,081
KY,083
KY,085
KY,087
KY,089
KY,091
KY,093
KY,095
KY,097
KY,099
KY,101
KY,103
KY,105
KY,107
KY,109
KY,111
KY,113
KY,115
KY,117
KY,119
KY,121
KY,123
KY,125
KY,127
KY,129
KY,131
KY,133
KY,135
KY,137
KY,139
KY,141
KY,143
KY,145
KY,147
KY,149
KY,151
KY,153
KY,155
KY,157
KY,159
KY,161
KY,163
KY,165
KY,167
KY,169
KY,171
KY,173
KY,175
KY,177
KY,179
KY,181
KY,183
KY,185
KY,187
KY,189
KY,191
KY,193
KY,195
KY,197
KY,199
KY,201
KY,203
KY,205
KY,207
KY,209
KY,211
KY,213
KY,215
KY,217
KY,219
KY,221
KY,223
KY,225
KY,227
KY,229
KY,231
KY,233
KY,235
KY,237
KY,239
KY,999
LA,001
LA,003
LA,005
LA,007
LA,009
LA,011
LA,013
LA,015
LA,017
LA,019
LA,021
LA,023
LA,025
LA,027
LA,029
LA,031
LA,033
LA,035
LA,037
LA,039
LA,041
LA,043
LA,045
LA,047
LA,049
LA,051
LA,053
LA,055
LA,057
LA,059
LA,061
LA,063
LA,065
LA,067
LA,069
LA,071
LA,073
LA,075
LA,077
LA,079
LA,081
LA,083
LA,085
LA,087
LA,089
LA,091
LA,093
LA,095
LA,097
LA,099
LA,101
LA,103
LA,105
LA,107
LA,109
LA,111
LA,113
LA,115
LA,117
LA,119
LA,121
LA,123
LA,125
LA,127
LA,999
ME,001
ME,003
ME,005
ME,007
ME,009
ME,011
ME,013
ME,015
ME,017
ME,019
ME,021
ME,023
ME,025
ME,027
ME,029
ME,031
ME,999
MD,001
MD,003
MD,005
MD,009
MD,011
MD,013
MD,015
MD,017
MD,019
MD,021
MD,023
MD,025
MD,027
MD,029
MD,031
MD,033
MD,035
MD,037
MD,039
MD,041
MD,043
MD,045
MD,047
MD,510
MD,999
MA,001
MA,003
MA,005
MA,007
MA,009
MA,011
MA,013
MA,015
MA,017
MA,019
MA,021
MA,023
MA,025
MA,027
MA,999
MI,001
DT,001
MI,003
DT,003
MI,005
DT,005
MI,007
DT,007
MI,009
DT,009
MI,011
DT,011
MI,013
DT,013
MI,015
DT,015
MI,017
DT,017
MI,019
DT,019
MI,021
DT,021
MI,023
DT,023
MI,025
DT,025
MI,027
DT,027
MI,029
DT,029
MI,031
DT,031
MI,033
DT,033
MI,035
DT,035
MI,037
DT,037
MI,039
DT,039
MI,041
DT,041
MI,043
DT,043
MI,045
DT,045
MI,047
DT,047
MI,049
DT,049
MI,051
DT,051
MI,053
DT,053
MI,055
DT,055
MI,057
DT,057
MI,059
DT,059
MI,061
DT,061
MI,063
DT,063
MI,065
DT,065
MI,067
DT,067
MI,069
DT,069
MI,071
DT,071
MI,073
DT,073
MI,075
DT,075
MI,077
DT,077
MI,079
DT,079
MI,081
DT,081
MI,083
DT,083
MI,085
DT,085
MI,087
DT,087
MI,089
DT,089
MI,091
DT,091
MI,093
DT,093
MI,095
DT,095
MI,097
DT,097
MI,099
DT,099
MI,101
DT,101
MI,103
DT,103
MI,105
DT,105
MI,107
DT,107
MI,109
DT,109
MI,111
DT,111
MI,113
DT,113
MI,115
