"State","CountyAtDxAnalysis","CensusTract2010","epht2010GeoId5k","epht2010GeoId20k"
"AL","001","020100","01001374","01001355"
"AL","001","020200","01001374","01001355"
"AL","001","020300","01001374","01001355"
"AL","001","020400","01001555","01001355"
"AL","001","020500","01001555","01001355"
"AL","001","020600","01001327","01001355"
"AL","001","020700","01001555","01001355"
"AL","001","020801","01001327","01001355"
"AL","001","020802","01001020802","01001355"
"AL","001","020900","01001020900","01001355"
"AL","001","021000","01001296","01001355"
"AL","001","021100","01001296","01001355"
"AL","003","010100","01003473","01003287"
"AL","003","010200","01003473","01003287"
"AL","003","010300","01003365","01003287"
"AL","003","010400","01003603","01003289"
"AL","003","010500","01003473","01003287"
"AL","003","010600","01003365","01003287"
"AL","003","010701","01003010701","01003287"
"AL","003","010703","01003010703","01003289"
"AL","003","010704","01003010704","01003141"
"AL","003","010705","01003010705","01003141"
"AL","003","010800","01003010800","01003141"
"AL","003","010903","01003010903","01003289"
"AL","003","010904","01003603","01003289"
"AL","003","010905","01003545","01003305"
"AL","003","010906","01003545","01003305"
"AL","003","011000","01003547","01003340"
"AL","003","011101","01003011101","01003305"
"AL","003","011102","01003450","01003305"
"AL","003","011201","01003535","01003305"
"AL","003","011202","01003535","01003305"
"AL","003","011300","01003450","01003305"
"AL","003","011401","01003547","01003340"
"AL","003","011403","01003380","01003218"
"AL","003","011405","01003481","01003218"
"AL","003","011406","01003380","01003218"
"AL","003","011407","010035","01003218"
"AL","003","011408","010035","01003218"
"AL","003","011501","01003011501","01003340"
"AL","003","011502","01003011502","01003340"
"AL","003","011601","01003011601","01003340"
"AL","003","011602","01003481","01003218"
"AL","003","990000","99999999999","99999999999"
"AL","005","950100","01005363","01005264"
"AL","005","950200","01005539","01005264"
"AL","005","950300","01005539","01005264"
"AL","005","950400","01005539","01005264"
"AL","005","950500","01005393","01005264"
"AL","005","950600","01005363","01005264"
"AL","005","950700","01005363","01005264"
"AL","005","950800","01005363","01005264"
"AL","005","950900","01005393","01005264"
"AL","007","010001","01007262","01007220"
"AL","007","010002","01007262","01007220"
"AL","007","010003","01007010003","01007220"
"AL","007","010004","01007010004","01007220"
"AL","009","050101","01009050101","01009191"
"AL","009","050102","01009050102","01009191"
"AL","009","050200","01009561","01009318"
"AL","009","050300","01009050300","01009191"
"AL","009","050400","01009561","01009318"
"AL","009","050500","01009561","01009318"
"AL","009","050601","01009492","01009318"
"AL","009","050602","01009492","01009318"
"AL","009","050700","01009050700","01009318"
"AL","011","952100","01011208","01011"
"AL","011","952200","01011208","01011"
"AL","011","952500","01011208","01011"
"AL","013","952700","01013552","0101390"
"AL","013","952800","01013552","0101390"
"AL","013","952900","01013552","0101390"
"AL","013","953000","01013552","0101390"
"AL","013","953100","01013552","0101390"
"AL","013","953200","01013552","0101390"
"AL","013","953300","0101395","0101390"
"AL","013","953400","0101395","0101390"
"AL","013","953500","0101395","0101390"
"AL","015","000200","01015419","01015363"
"AL","015","000300","01015419","01015363"
"AL","015","000400","01015471","01015290"
"AL","015","000500","01015419","01015363"
"AL","015","000600","01015419","01015363"
"AL","015","000700","01015260","01015363"
"AL","015","000800","01015419","01015363"
"AL","015","000900","01015373","01015363"
"AL","015","001000","01015373","01015363"
"AL","015","001100","01015001100","01015363"
"AL","015","001201","01015400","01015363"
"AL","015","001202","01015400","01015363"
"AL","015","001300","01015400","01015363"
"AL","015","001400","01015471","01015290"
"AL","015","001500","01015587","01015290"
"AL","015","001600","01015471","01015290"
"AL","015","001700","01015260","01015363"
"AL","015","001800","01015001800","01015300"
"AL","015","002000","01015002000","01015300"
"AL","015","002101","01015378","01015300"
"AL","015","002102","01015378","01015300"
"AL","015","002103","01015002103","01015300"
"AL","015","002200","01015571","01015300"
"AL","015","002300","01015571","01015300"
"AL","015","002400","01015571","01015300"
"AL","015","002501","01015594","01015290"
"AL","015","002502","01015594","01015290"
"AL","015","002600","01015587","01015290"
"AL","015","981901","01015587","01015290"
"AL","015","981902","01015471","01015290"
"AL","015","981903","01015981903","01015981903"
"AL","017","953800","01017426","01017265"
"AL","017","953900","01017379","01017265"
"AL","017","954000","01017426","01017265"
"AL","017","954200","01017379","01017265"
"AL","017","954300","01017600","01017265"
"AL","017","954400","01017379","01017265"
"AL","017","954500","01017379","01017265"
"AL","017","954600","01017379","01017265"
"AL","017","954700","01017600","01017265"
"AL","019","955701","01019488","01019302"
"AL","019","955702","01019488","01019302"
"AL","019","955800","01019955800","01019302"
"AL","019","955900","01019509","01019302"
"AL","019","956000","01019509","01019302"
"AL","019","956100","01019488","01019302"
"AL","021","060101","01021280","01021373"
"AL","021","060102","01021060102","01021373"
"AL","021","060200","01021280","01021373"
"AL","021","060300","01021475","01021373"
"AL","021","060401","01021475","01021373"
"AL","021","060402","01021060402","01021373"
"AL","021","060500","01021302","01021373"
"AL","021","060600","01021302","01021373"
"AL","021","060700","01021060700","01021373"
"AL","023","956700","01023346","0100200"
"AL","023","956800","01023346","0100200"
"AL","023","956900","01023206","0100200"
"AL","023","957000","01023206","0100200"
"AL","025","957500","0102593","01025160"
"AL","025","957601","01025199","01025160"
"AL","025","957602","0102593","01025160"
"AL","025","957700","01025199","01025160"
"AL","025","957800","01025957800","01025160"
"AL","025","957901","01025199","01025160"
"AL","025","957902","0102588","01025160"
"AL","025","958001","0102588","01025160"
"AL","025","958002","0102588","01025160"
"AL","027","958900","01027958900","0100228"
"AL","027","959000","01027303","0100228"
"AL","027","959100","01027303","0100228"
"AL","027","959200","01027303","0100228"
"AL","029","959500","01029595","0100228"
"AL","029","959600","01029595","0100228"
"AL","029","959700","01029595","0100228"
"AL","029","959800","01029595","0100228"
"AL","031","010100","01031150","01031377"
"AL","031","010200","01031107","01031377"
"AL","031","010300","01031107","01031377"
"AL","031","010400","01031175","01031377"
"AL","031","010500","01031150","01031377"
"AL","031","010600","01031175","01031377"
"AL","031","010700","01031175","01031377"
"AL","031","010800","01031283","01031377"
"AL","031","010900","01031283","01031377"
"AL","031","011000","01031283","01031377"
"AL","031","011100","01031526","01031377"
"AL","031","011201","01031526","01031377"
"AL","031","011202","01031011202","01031377"
"AL","031","011300","01031526","01031377"
"AL","033","020100","01033131","01033193"
"AL","033","020200","01033131","01033193"
"AL","033","020300","01033145","01033193"
"AL","033","020400","0103360","01033193"
"AL","033","020500","0103360","01033193"
"AL","033","020600","01033145","01033193"
"AL","033","020701","01033569","01033243"
"AL","033","020703","01033551","01033243"
"AL","033","020704","01033551","01033243"
"AL","033","020801","01033569","01033243"
"AL","033","020802","01033462","01033243"
"AL","033","020901","01033462","01033243"
"AL","033","020902","01033498","01033193"
"AL","033","021000","01033498","01033193"
"AL","035","960200","0103594","01035"
"AL","035","960300","0103594","01035"
"AL","035","960400","01035351","01035"
"AL","035","960500","0103594","01035"
"AL","035","960600","01035351","01035"
"AL","037","961000","01037500","0100228"
"AL","037","961100","01037500","0100228"
"AL","037","961200","01037500","0100228"
"AL","039","961600","01039356","01039325"
"AL","039","961700","01039513","01039325"
"AL","039","961800","01039513","01039325"
"AL","039","961900","01039171","01039325"
"AL","039","962000","01039171","01039325"
"AL","039","962100","01039171","01039325"
"AL","039","962300","01039356","01039325"
"AL","039","962400","01039596","01039325"
"AL","039","962500","01039596","01039325"
"AL","039","962600","01039596","01039325"
"AL","039","962700","01039596","01039325"
"AL","039","962800","01039596","01039325"
"AL","039","962900","01039513","01039325"
"AL","039","963000","01039596","01039325"
