Primary Site,Histology,EOD 2dig Digit 1,EOD 2dig Digit 2,Historic Stage
000-809,9590-9979,"0-9,&,-","0-9,&,-",9
"000-419,440-669,680-759",8000-9589,0,-,0
"000-419,440-669,680-759",8000-9589,4,-,1
"000-419,440-669,680-759",8000-9589,5,-,2
"000-419,440-669,680-759",8000-9589,6,-,2
"000-419,440-669,680-759",8000-9589,7,-,2
"000-419,440-669,680-759",8000-9589,8,-,2
"000-419,440-669,680-759",8000-9589,&,-,4
"000-419,440-669,680-759",8000-9589,"9,-",-,9
"420-424,770-779",8000-9589,"0-9,&,-","0-9,&,-",9
670-679,8000-9589,"0,4",-,1
670-679,8000-9589,5,-,2
670-679,8000-9589,6,-,2
670-679,8000-9589,7,-,2
670-679,8000-9589,8,-,2
670-679,8000-9589,&,-,4
670-679,8000-9589,"9,-",-,9
"760-769,809",8000-9589,"0-9,&,-","0-9,&,-",9
