Year DX,Primary Site,Histology 3,EOD 10 Extension,EOD10 Ext Recode
1984-2003,000-809,9140,11,5
1984-2003,000-809,9140,12,5
1984-2003,000-809,9140,13,5
1984-2003,000-809,9140,21,5
1984-2003,000-809,9140,22,5
1984-2003,000-809,9140,23,5
1984-2003,000-809,9140,24,5
1984-2003,000-809,9140,25,5
1984-2003,000-809,9140,26,5
1984-2003,000-809,9140,27,5
1984-2003,000-809,9140,29,5
1984-2003,000-809,9140,99,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",10,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",11,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",20,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",21,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",30,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",31,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",32,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",33,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",80,5
1984-2003,000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702-9703,9705,9708-9709,9714,9716-9719,9727-9729",99,5
1984-2003,000-809,"9592-9595,9657,9658,9660,9666,9672,9674,9676-9677,9681-9683,9685-9686,9688,9692-9694,9696-9697,9704,9706-9707,9710-9713,9715",10,2
1984-2003,000-809,"9592-9595,9657,9658,9660,9666,9672,9674,9676-9677,9681-9683,9685-9686,9688,9692-9694,9696-9697,9704,9706-9707,9710-9713,9715",11,2
1984-2003,000-809,"9592-9595,9657,9658,9660,9666,9672,9674,9676-9677,9681-9683,9685-9686,9688,9692-9694,9696-9697,9704,9706-9707,9710-9713,9715",20,3
