Primary Site,Histology,EOD10 Lymph Nodes,EOD10 Node Recode
000-809,"9590-9591,9596,9650-9655,9659,9661-9665,9667,9670-9671,9673,9675,9678-9680,9684,9687,9689-9691,9695,9698-9699,9702,9705,9708-9709,9714,9716-9719,9727-9729","0-3,9",5
000-809,"9592-9595,9657-9658,9660,9666,9672,9674,9676-9677,9681-9683,9685-9686,9688,9692-9694,9696-9697,9703-9704,9706-9707,9710-9713,9715","0-3,9",5
000-809,9140,0,5
000-809,9140,1,5
000-809,9140,2,5
000-809,9140,3,5
000-809,9140,9,5
000-809,"9731-9734,9740-9742,9750-9758,9760-9762,9764-9769,9800-9801,9805,9820,9823,9826-9827,9831-9837,9840,9860-9861,9863,9866-9867,9870-9876,9891,9895-9897,9910,9920,9930-9931,9940,9945-9946,9948,9950,9960-9964,9970,9975,9980,9982-9987,9989",9,5
000-809,"9720,9722-9723,9763,9802-9804,9821-9822,9824-9825,9828,9830,9841-9842,9850,9862,9864,9868,9880,9890,9892-9894,9900,9932,9941,9981",9,5
"000-006,008-009","8000-9139,9141-9589",0,1
"000-006,008-009","8000-9139,9141-9589",1,2
"000-006,008-009","8000-9139,9141-9589",2,2
"000-006,008-009","8000-9139,9141-9589",3,2
"000-006,008-009","8000-9139,9141-9589",4,2
"000-006,008-009","8000-9139,9141-9589",5,2
"000-006,008-009","8000-9139,9141-9589",6,2
"000-006,008-009","8000-9139,9141-9589",7,3
"000-006,008-009","8000-9139,9141-9589",8,4
"000-006,008-009","8000-9139,9141-9589",9,5
"19,24","8000-9139,9141-9589",0,1
"19,24","8000-9139,9141-9589",1,2
"19,24","8000-9139,9141-9589",2,2
"19,24","8000-9139,9141-9589",3,2
"19,24","8000-9139,9141-9589",4,2
"19,24","8000-9139,9141-9589",5,2
"19,24","8000-9139,9141-9589",6,2
"19,24","8000-9139,9141-9589",7,3
"19,24","8000-9139,9141-9589",8,4
"19,24","8000-9139,9141-9589",9,5
"020-023,028-029","8000-9139,9141-9589",0,1
"020-023,028-029","8000-9139,9141-9589",1,2
"020-023,028-029","8000-9139,9141-9589",2,2
"020-023,028-029","8000-9139,9141-9589",3,2
"020-023,028-029","8000-9139,9141-9589",4,2
"020-023,028-029","8000-9139,9141-9589",5,2
"020-023,028-029","8000-9139,9141-9589",6,2
"020-023,028-029","8000-9139,9141-9589",7,3
"020-023,028-029","8000-9139,9141-9589",8,4
"020-023,028-029","8000-9139,9141-9589",9,5
"030-031,039,062","8000-9139,9141-9589",0,1
"030-031,039,062","8000-9139,9141-9589",1,2
"030-031,039,062","8000-9139,9141-9589",2,2
"030-031,039,062","8000-9139,9141-9589",3,2
"030-031,039,062","8000-9139,9141-9589",4,2
"030-031,039,062","8000-9139,9141-9589",5,2
"030-031,039,062","8000-9139,9141-9589",6,2
"030-031,039,062","8000-9139,9141-9589",7,3
"030-031,039,062","8000-9139,9141-9589",8,4
"030-031,039,062","8000-9139,9141-9589",9,5
"040-041,048-049","8000-9139,9141-9589",0,1
"040-041,048-049","8000-9139,9141-9589",1,2
"040-041,048-049","8000-9139,9141-9589",2,2
"040-041,048-049","8000-9139,9141-9589",3,2
"040-041,048-049","8000-9139,9141-9589",4,2
"040-041,048-049","8000-9139,9141-9589",5,2
"040-041,048-049","8000-9139,9141-9589",6,2
"040-041,048-049","8000-9139,9141-9589",7,3
"040-041,048-049","8000-9139,9141-9589",8,4
"040-041,048-049","8000-9139,9141-9589",9,5
50,"8000-9139,9141-9589",0,1
50,"8000-9139,9141-9589",1,2
50,"8000-9139,9141-9589",2,2
50,"8000-9139,9141-9589",3,2
50,"8000-9139,9141-9589",4,2
50,"8000-9139,9141-9589",5,2
50,"8000-9139,9141-9589",6,2
50,"8000-9139,9141-9589",7,3
50,"8000-9139,9141-9589",8,4
50,"8000-9139,9141-9589",9,5
051-052,"8000-9139,9141-9589",0,1
051-052,"8000-9139,9141-9589",1,2
051-052,"8000-9139,9141-9589",2,2
051-052,"8000-9139,9141-9589",3,2
051-052,"8000-9139,9141-9589",4,2
051-052,"8000-9139,9141-9589",5,2
051-052,"8000-9139,9141-9589",6,2
051-052,"8000-9139,9141-9589",7,3
051-052,"8000-9139,9141-9589",8,4
051-052,"8000-9139,9141-9589",9,5
"058-059,068-069","8000-9139,9141-9589",0,1
"058-059,068-069","8000-9139,9141-9589",1,2
"058-059,068-069","8000-9139,9141-9589",2,2
"058-059,068-069","8000-9139,9141-9589",3,2
"058-059,068-069","8000-9139,9141-9589",4,2
"058-059,068-069","8000-9139,9141-9589",5,2
"058-059,068-069","8000-9139,9141-9589",6,2
"058-059,068-069","8000-9139,9141-9589",7,3
"058-059,068-069","8000-9139,9141-9589",8,4
"058-059,068-069","8000-9139,9141-9589",9,5
060-061,"8000-9139,9141-9589",0,1
060-061,"8000-9139,9141-9589",1,2
060-061,"8000-9139,9141-9589",2,2
060-061,"8000-9139,9141-9589",3,2
060-061,"8000-9139,9141-9589",4,2
060-061,"8000-9139,9141-9589",5,2
060-061,"8000-9139,9141-9589",6,2
060-061,"8000-9139,9141-9589",7,3
060-061,"8000-9139,9141-9589",8,4
060-061,"8000-9139,9141-9589",9,5
"079-081,088-089","8000-9139,9141-9589",0,1
"079-081,088-089","8000-9139,9141-9589",1,2
"079-081,088-089","8000-9139,9141-9589",2,2
"079-081,088-089","8000-9139,9141-9589",3,2
"079-081,088-089","8000-9139,9141-9589",4,2
"079-081,088-089","8000-9139,9141-9589",5,2
"079-081,088-089","8000-9139,9141-9589",6,2
"079-081,088-089","8000-9139,9141-9589",7,3
"079-081,088-089","8000-9139,9141-9589",8,4
"079-081,088-089","8000-9139,9141-9589",9,5
"098-099,090-091,100,102-104,108-109","8000-9139,9141-9589",0,1
