EOD 13dig Digit 5,EOD 13dig Digit 6,EOD 13dig Digit 7,EOD 13dig Digit 9,EOD 13dig Digit 10,EOD 13dig Digit 11,EOD 13dig Digit 12,EOD 13dig Digit 13,Stage
0,"0-9,&","0,-",0-3,"0,-","0,1",0,0,1
1,0-3,"0-3,-",0-3,0,0,0,0,1
1,0-3,"0-3,-",0-2,-,0,0,0,1
2,0-3,"0-3,-",0-3,0,0,0,0,1
2,0-3,"0-3,-",0-2,-,0,0,0,1
6,0-3,"0-3,-",0-3,0,0,0,0,1
6,0-3,"0-3,-",0-2,-,0,0,0,1
3,0-3,"0-3,-",0-3,0,0,0,0,2
3,0-3,"0-3,-",0-2,-,0,0,0,2
"4-5,7-8",0-3,"0-3,-",0-3,0,0,0,0,2
"4-5,7-8",0-3,"0-3,-",0-2,-,0,0,0,2
"9,&",0-3,"0-3,-",0-3,0,0,0,0,2
"9,&",0-3,"0-3,-",0-2,-,0,0,0,2
"1-9,&,-","4-9,&","0-9,-,&",0-3,0,0,0,0,2
"1-9,&,-","4-9,&","0-9,-,&",0-2,-,0,0,0,2
"1-9,&,-",0-3,"4-9,&",0-2,-,0,0,0,2
"1-9,&,-",0-3,"4-9,&",0-3,0,0,0,0,2
"1-2,6",0-3,"0-3,-",0-3,1,0,0,0,2
"1-2,6",0-3,"0-3,-",3,-,0,0,0,2
3,0-3,"0-3,-",0-3,1,0,0,0,2
3,0-3,"0-3,-",3,-,0,0,0,2
"4-5,7-8",0-3,"0-3,-",0-3,1,0,0,0,2
"4-5,7-8",0-3,"0-3,-",3,-,0,0,0,2
"9,&",0-3,"0-3,-",0-3,1,0,0,0,2
"9,&",0-3,"0-3,-",3,-,0,0,0,2
"1-9,&,-","4-9,&","0-9,-,&",0-3,1,0,0,0,2
"1-9,&,-","4-9,&","0-9,-,&",3,-,0,0,0,2
"1-9,&,-",0-3,"4-9,&",0-3,1,0,0,0,2
"1-9,&,-",0-3,"4-9,&",3,-,0,0,0,2
"1-9,&,-","0-9,&","0-9,-,&",0-3,"0-1,-",0-1,1,0,4
"1-9,&,-","0-9,&","0-9,-,&",0-3,"0-1,-",1,0,0,4
"1-9,-,&","0-9,&","0-9,-,&",0-3,"0-1,-",0-1,0-1,"1-9,&",4
-,0-3,"0-3,-",0-3,"0-1,-",0,0,0,9
