Primary Site,EOD 13dig Digit 4,EOD 13dig Digit 5,EOD 13dig Digit 6,EOD 13dig Digit 7,EOD 13dig Digit 8,EOD 13dig Digit 13,EOD 13dig Ext Recode
160-169,"0-9,&,-",0,"0,-","0,-","0-9,&,-",0,00
160-169,"0-9,&,-",1-2,"0,-","0,-","0-9,&,-",0,01
160-169,"0-9,&,-",3-4,"0,-","0,-","0-9,&,-",0,02
160-169,"0-9,&,-",5,"0,-","0,-","0-9,&,-",0,03
160-169,"0-9,&,-",7,"0,-","0,-","0-9,&,-",0,04
160-169,"0-9,&,-","6,8","0,-","0,-","0-9,&,-",0,05
160-169,"0-9,&,-",9,"0,-","0,-","0-9,&,-",0,06
160-169,"0-9,&,-","1-9,-",1-8,"0,-","0-9,&,-",0,06
160-169,"0-9,&,-","1-9,-","0-8,-","1-9,&","0-9,&,-",0,07
160-169,"0-9,&,-","1-9,-","0-8,-","0-9,&,-","0-9,&,-","1-9,&",08
160-169,"0-9,&,-",-,"0,-","0,-","0-9,&,-",0,09
"180,182-187","0-9,&,-",0,"0-9,&,-","0,1,-","0-9,&,-",0,00
"180,182-187","0-9,&,-","1,2","0-9,&,-","0,1,-","0-9,&,-",0,01
"180,182-187","0-9,&,-",3,"0-9,&,-","0,1,-","0-9,&,-",0,02
"180,182-187","0-9,&,-",5,"0-9,&,-","0,1,-","0-9,&,-",0,03
"180,182-187","0-9,&,-",4,"0-9,&,-","0,1,-","0-9,&,-",0,04
"180,182,186-187","0-9,&,-",8,"0-9,&,-","0,1,-","0-9,&,-",0,05
"183,184-185","0-9,&,-",9,"0-9,&,-","0,1,-","0-9,&,-",0,05
"180,182,186,187","0-9,&,-","6,7,9","0-9,&,-","0,1,-","0-9,&,-",0,06
"183,184-185","0-9,&,-","6,7,8,&","0-9,&,-","0,1,-","0-9,&,-",0,06
"180,182","0-9,&,-","1-9,-","0-9,&,-",2-9,"0-9,&,-",0,07
183-185,"0-9,&,-","1-9,&,-","0-9,&,-","2-9,&","0-9,&,-",0,07
186-187,"0-9,&,-","1-9,-","0-9,&,-","2-9,&","0-9,&,-",0,07
"180,182-187","0-9,&,-","0-9,&,-","0-9,&,-","0-9,&,-","0-9,&,-","1-9,&",08
"180,182-187","0-9,&,-",-,"0-9,&,-","0,1,-","0-9,&,-",0,09
"199,209","0-9,&,-",0,"0-9,&,-","0,1,-","0-9,&,-",0,00
"199,209","0-9,&,-","1,2","0-9,&,-","0,1,-","0-9,&,-",0,01
"199,209","0-9,&,-",3,"0-9,&,-","0,1,-","0-9,&,-",0,02
"199,209","0-9,&,-",5,"0-9,&,-","0,1,-","0-9,&,-",0,03
"199,209","0-9,&,-",4,"0-9,&,-","0,1,-","0-9,&,-",0,04
"199,209","0-9,&,-",8,"0-9,&,-","0,1,-","0-9,&,-",0,05
199,"0-9,&,-","6,7,9","0-9,&,-","0,1,-","0-9,&,-",0,06
209,"0-9,&,-","6,9","0-9,&,-","0,1,-","0-9,&,-",0,06
199,"0-9,&,-","1-9,-","0-9,&,-","2-7,9,&","0-9,&,-",0,07
209,"0-9,&,-","1-9,-","0-9,&,-","2-9,&","0-9,&,-",0,07
"199,209","0-9,&,-","0-9,-","0-9,&,-","0-9,&,-","0-9,&,-","1-9,&",08
"199,209","0-9,&,-",-,"0-9,&,-","0,1,-","0-9,&,-",0,09
340-349,0,"1,-",0,0,"0-9,&",0,00
340-349,"1,-",0,0,0,"0-9,&",0,00
340-349,"4,7,8,9","1,-",0,0,0,0,01
340-349,"1,-","4,7,8,9",0,0,0,0,01
340-349,"2,5","1,-",0,0,0,0,02
340-349,"1,-","2,5",0,0,0,0,02
340-349,&,"1,-",0,0,0,0,03
340-349,"1,-",&,0,0,0,0,03
340-349,"1,-","&,2,4,5,7-9",0,0,1,0,04
340-349,"&,2,4,5,7-9","1,-",0,0,1,0,04
340-349,"1,-","1,-",0,0,1,0,04
340-349,"1,-","&,2,4,5,7-9","0,1",1,"1,0",0,04
340-349,"&,2,4,5,7-9","1,-","0,1",1,"1,0",0,04
340-349,"1,-","1,-","0,1",1,"1,0",0,04
340-349,"1,-","&,2,4,5,7-9",1,0,"1,0",0,04
340-349,"&,2,4,5,7-9","1,-",1,0,"1,0",0,04
340-349,"1,-","1,-",1,0,"1,0",0,04
340-349,"3,6","1,-","0,1","0,1","0,1",0,05
340-349,"1,-","3,6","0,1","0,1","0,1",0,05
340-349,"2-9,&","1,-","0,1","0,1",2-6,0,06
340-349,"1,-","2-9,&","0,1","0,1",2-6,0,06
340-349,"1,-","1,-","0,1","0,1",2-6,0,06
340-349,"1,-","2-9,&",2-6,"0,1",0-6,0,06
340-349,"2-9,&","1,-",2-6,"0,1",0-6,0,06
340-349,"1,-","1,-",2-6,"0,1",0-6,0,06
340-349,"2-9,&","2-9,&",0-6,"0,1",0-6,0,07
340-349,"1-9,&,-","1-9,-,&",0-6,"0,1","7-9,&",0,07
340-349,"1-9,&,-","1-9,&,-",0-6,2-9,"0-9,&",0,07
