EOD 13dig Digit 4,EOD 13dig Digit 5,EOD 13dig Digit 6,EOD 13dig Digit 7,EOD 13dig Digit 8,EOD 13dig Digit 9,EOD 13dig Digit 10,EOD 13dig Digit 11,EOD 13dig Digit 12,EOD 13dig Digit 13,Historic Stage
0,"1,-",0,0,"0-2,6-9,&","0,-","0,-",0,0,0,0
"1,-",0,0,0,"0-2,6-9,&","0,-","0,-",0,0,0,0
2-9,"1,-",0,0,"0-2,6-9,&","0,-","0,-",0,0,0,1
"1,-",2-9,0,0,"0-2,6-9,&","0,-","0,-",0,0,0,1
"1-9,&,-","1,-","1-9,&","0-9,&","0-2,6-9,&","0,-","0,-",0,0,0,2
"1-9,&,-","1,-",0,1-9,"0-2,6-9,&","0,-","0,-",0,0,0,2
"1,-","1-9,&,-",0,1-9,"0-2,6-9,&","0,-","0,-",0,0,0,2
"1,-","1-9,&,-","1-9,&","0-9,&","0-2,6-9,&","0,-","0,-",0,0,0,2
"1-9,&,-","1,-","0-9,&","0-9,&","0-2,6-9,&",1-9,"0,-",0,0,0,2
"1-9,&,-","1,-","0-9,&","0-9,&","0-2,6-9,&","0-9,-",1,0,0,0,2
"1,-","1-9,&,-","0-9,&","0-9,&","0-2,6-9,&","0-9,-",1,0,0,0,2
"1,-","1-9,&,-","0-9,&","0-9,&","0-2,6-9,&",1-9,"0,-",0,0,0,2
"2-9,&","2-9,&","0-9,&","0-9,&","0-2,6-9,&","0-9,-","0-1,-",0,0,0,4
"1-9,&,-","1-9,&,-","0-9,&","0-9,&",3-5,"0-9,-","0-1,-",0-1,0-1,"0-5,8-9,&",4
"1-9,&,-","1-9,&,-","0-9,&","0-9,&","0-2,6-9,&","0-9,-","0-1,-",0-1,0-1,"1-5,8,9,&",4
"1-9,&,-","1-9,&,-","0-9,&","0-9,&","0-2,6-9,&","0-9,-","0-1,-",1,"0,1",0,4
"1-9,&,-","1-9,&,-","0-9,&","0-9,&","0-2,6-9,&","0-9,-","0-1,-",0,1,0,4
"1,-","1,-",0,0,"0-2,6-9,&","0,-","0,-",0,0,0,9
&,"1,-",0,0,"0-2,6-9,&","0,-","0,-",0,0,0,9
"1,-",&,0,0,"0-2,6-9,&","0,-","0,-",0,0,0,9
