Primary Site,EOD 13dig Digit 7,EOD 13dig Digit 8,EOD 13dig Digit 9,EOD 13dig Digit 10,EOD 13dig Digit 11,EOD 13dig Digit 12,EOD 13dig Node Recode
160-169,"0-9,&,-","0-9,&,-","0-9,&,-",0,"0-9,&,-",0,00
160-169,"0-9,&,-","0-9,&,-","0-9,&,-",1,"0-9,&,-",0,05
160-169,"0-9,&,-","0-9,&,-","0-9,&,-","0,1,-","0-9,&,-",1,06
160-169,"0-9,&,-","0-9,&,-","0-9,&,-",-,"0-9,&,-",0,09
"180,182-187","0-9,&,-","0-9,&,-","0-9,&,-",0,"0-9,&,-",0,00
"180,182-187","0-9,&,-","0-9,&,-","0-9,&,-",1,"0-9,&,-",0,01
"180,182-187","0-9,&,-","0-9,&,-","0-9,&,-","0,1,-","0-9,&,-",1,07
"180,182-187","0-9,&,-","0-9,&,-","0-9,&,-",-,"0-9,&,-",0,09
"199,209","0-9,&,-","0-9,&,-","0-9,&,-",0,"0-9,&,-",0,00
"199,209","0-9,&,-","0-9,&,-","0-9,&,-",1,"0-9,&,-",0,01
"199,209","0-9,&,-","0-9,&,-","0-9,&,-","0,1,-","0-9,&,-",1,07
"199,209","0-9,&,-","0-9,&,-","0-9,&,-",-,"0-9,&,-",0,09
340-349,"0-9,&,-","0-9,&,-",0,"0,-",0,0,00
340-349,"0-9,&,-","0-9,&,-","1-5,-",0,0,0,00
340-349,"0-9,&,-","0-9,&,-",6,0,0,0,01
340-349,"0-9,&,-","0-9,&,-","1-3,6","1,-",0,0,01
340-349,"0-9,&,-","0-9,&,-","4-5,7-9","1,-",0,0,02
340-349,"0-9,&,-","0-9,&,-",7-9,0,0,0,02
340-349,"0-9,&,-","0-9,&,-","0,-",1,0,0,05
340-349,"0-9,&,-","0-9,&,-","0-9,-","0,1,-","0,1",1,07
340-349,"0-9,&,-","0-9,&,-","0-9,-","0,1,-",1,0,07
340-349,"0-9,&,-","0-9,&,-",-,-,0,0,09
500-509,"0,1,3,-",0,1-9,1-9,"0-9,&,-",0,00
500-509,"0,1,3,-",0,0,1-9,"0-9,&,-",0,00
500-509,"0,1,3,-",0,1-9,0,"0-9,&,-",0,00
500-509,"0,1,3,-",0,-,-,"0-9,&,-",0,00
500-509,"0,1",-,"0-9,-","0-9,-","0-9,&,-",0,00
500-509,"0,1",0,0,0,"0-9,&,-",0,00
500-509,"2,4",0,1-9,1-9,"0-9,&,-",0,00
500-509,"2,4",0,0,1-9,"0-9,&,-",0,00
500-509,"2,4",0,1-9,0,"0-9,&,-",0,00
500-509,2,-,"0-9,-","0-9,-","0-9,&,-",0,01
500-509,2,0,0,0,"0-9,&,-",0,01
500-509,2,0,-,-,"0-9,&,-",0,01
500-509,"0-3,-",1-9,"0-9,-","0-9,-","0-9,&,-",0,01
500-509,4,-,"0-9,-","0-9,-","0-9,&,-",0,02
500-509,4,1-9,"0-9,-","0-9,-","0-9,&,-",0,02
500-509,4,0,0,0,"0-9,&,-",0,02
500-509,4,0,-,-,"0-9,&,-",0,02
500-509,"0-4,-","0-9,-","0-9,-","0-9,-","0-9,&,-",1,06
500-509,"3,-",0,0,0,"0-9,&,-",0,09
500-509,"3,-",-,"0-9,-","0-9,-","0-9,&,-",0,09
530-539,"0-9,&,-","0-9,&,-","0,1,-",0,0,0,00
530-539,"0-9,&,-","0-9,&,-",0,-,0,0,00
530-539,"0-9,&,-","0-9,&,-","0-3,-",1,0,0,01
530-539,"0-9,&,-","0-9,&,-","2,3","-,0",0,0,01
530-539,"0-9,&,-","0-9,&,-","0-3,-","0,1,-","0,1",1,07
530-539,"0-9,&,-","0-9,&,-","0-3,-","0,1,-",1,0,07
530-539,"0-9,&,-","0-9,&,-","1,-",-,0,0,09
540-549,"0-9,&,-","0-9,&,-","0,1,-",0,0,0,00
540-549,"0-9,&,-","0-9,&,-",0,-,0,0,00
540-549,"0-9,&,-","0-9,&,-","0-3,-",1,0,0,01
540-549,"0-9,&,-","0-9,&,-","2,3","0,-",0,0,01
540-549,"0-9,&,-","0-9,&,-","0-3,-","0,1,-","0,1",1,07
540-549,"0-9,&,-","0-9,&,-","0-3,-","0,1,-",1,0,07
540-549,"0-9,&,-","0-9,&,-","1,-",-,0,0,09
619,"0-9,&,-","0-9,&,-","0,1,2",0,0,0,00
619,"0-9,&,-","0-9,&,-",1,-,0,0,00
619,"0-9,&,-","0-9,&,-",0-3,1,0,0,05
619,"0-9,&,-","0-9,&,-",3,"0,-",0,0,05
619,"0-9,&,-","0-9,&,-",0-3,"0,1,-","0,1",1,07
619,"0-9,&,-","0-9,&,-",0-3,"0,1,-",1,0,07
619,"0-9,&,-","0-9,&,-","0,2",-,0,0,09
