Primary Site,Histology,EOD 2dig Digit 1,EOD 2dig Digit 2,Historic Stage
000-809,9590-9979,"0-9,-,&","0-9,-,&",9
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,0,-,0
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,1-4,"0-9,-,&",1
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,"7,9","0-9,-,&",2
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,5-6,"0-9,-,&",2
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,8,"0-9,-,&",2
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,-,"0-9,&",2
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,&,"1,3,6,8",4
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,&,"2,7",4
"000-004,006,019-024,070-080,030-031,040-052,060-062,090-139,141",8000-9589,-,-,9
"150-155,170-172,210-211",8000-9589,0,"1-2,-",0
"150-155,170-172,210-211",8000-9589,1-4,"0-9,-,&",1
"150-155,170-172,210-211",8000-9589,"7,9","0-9,-,&",2
"150-155,170-172,210-211",8000-9589,5-6,"0-9,-,&",2
"150-155,170-172,210-211",8000-9589,8,"0-9,-,&",2
"150-155,170-172,210-211",8000-9589,-,"0-9,&",2
"150-155,170-172,210-211",8000-9589,&,"1,3,6,8,&",4
"150-155,170-172,210-211",8000-9589,&,"2,7",4
"150-155,170-172,210-211",8000-9589,-,-,9
"220-221,239-241,250-252",8000-9589,0,-,0
"220-221,239-241,250-252",8000-9589,1-4,"0-9,-,&",1
"220-221,239-241,250-252",8000-9589,"7,9","0-9,-,&",2
"220-221,239-241,250-252",8000-9589,5-6,"0-9,-,&",2
"220-221,239-241,250-252",8000-9589,8,"0-9,-,&",2
"220-221,239-241,250-252",8000-9589,-,"0-9,&",2
"220-221,239-241,250-252",8000-9589,&,"1,3,6,8,&",4
"220-221,239-241,250-252",8000-9589,&,"2,7",4
"220-221,239-241,250-252",8000-9589,-,-,9
"320-322,400-419,739",8000-9589,0,-,0
"320-322,400-419,739",8000-9589,1-4,"0-9,-,&",1
"320-322,400-419,739",8000-9589,"7,9","0-9,-,&",2
"320-322,400-419,739",8000-9589,5-6,"0-9,-,&",2
"320-322,400-419,739",8000-9589,8,"0-9,-,&",2
"320-322,400-419,739",8000-9589,-,"0-9,&",2
"320-322,400-419,739",8000-9589,&,"1,3,6,8,&",4
"320-322,400-419,739",8000-9589,&,"2,7",4
"320-322,400-419,739",8000-9589,-,-,9
340-349,8000-9589,0,-,0
340-349,8000-9589,1-4,"0-9,-,&",1
