Histology,Primary Site,EOD 2dig Digit 1,EOD 2dig Digit 2,EOD 2dig Ext Recode
8000-9589,000-009,0,-,00
8000-9589,000-009,1-6,"0-3,5-8",01
8000-9589,000-009,7-8,"5-7,9",02
8000-9589,000-009,1-6,4,03
8000-9589,000-009,"1,3-6",9,03
8000-9589,000-009,4,-,03
8000-9589,000-009,7-8,"0-2,4",04
8000-9589,000-009,"9,-","0-2,9",04
8000-9589,000-009,&,"1,3,6,8",08
8000-9589,000-009,-,-,09
8000-9589,000-009,&,"2,7",09
8000-9589,019,0,-,00
8000-9589,019,"1,3,5","0,4-5,9",03
8000-9589,019,"2,4,6",5,03
8000-9589,019,4,"-,9",03
8000-9589,019,6,9,03
8000-9589,019,7-8,"0-2,4-6,9",04
8000-9589,019,"9,-",0-2,04
8000-9589,019,"7-9,-",3,06
8000-9589,019,"9,-",9,06
8000-9589,019,"9,-",5,07
8000-9589,019,&,"1,3,6,8",08
8000-9589,019,-,-,09
8000-9589,019,&,"2,7",09
8000-9589,020-024,0,-,00
8000-9589,020-024,"1,3,5","0-1,4-6,9",03
8000-9589,020-024,"2,4,6","0-1,4-6",03
8000-9589,020-024,"4,6",9,03
8000-9589,020-024,4,-,03
8000-9589,020-024,7-8,"0-1,4-6,9",04
8000-9589,020-024,"9,-","0,3",04
8000-9589,020-024,"9,-",1,06
8000-9589,020-024,"9,-","2,5-6,8-9",07
8000-9589,020-024,&,"1,3,6,8",08
8000-9589,020-024,-,-,09
8000-9589,020-024,&,"2,7",09
8000-9589,030,0,-,00
8000-9589,030,"1,3,5","0-2,4-7,9",03
8000-9589,030,"2,4,6",5-7,03
8000-9589,030,"4,6",9,03
8000-9589,030,4,-,03
8000-9589,030,7-8,"0-3,9",04
8000-9589,030,"9,-","0-3,9",07
8000-9589,030,&,"1,3,6,8",08
8000-9589,030,-,-,09
8000-9589,030,&,"2,7",09
8000-9589,"031,062",0,-,00
8000-9589,"031,062","1,3,5","0-2,4-7,9",03
8000-9589,"031,062","2,4,6",5-7,03
8000-9589,"031,062","4,6",9,03
8000-9589,"031,062",4,-,03
8000-9589,"031,062",7-8,"0-3,5,9",04
8000-9589,"031,062","9,-","0,1,9",07
8000-9589,"031,062",&,"1,3,6,8",08
8000-9589,"031,062",-,-,09
8000-9589,"031,062",&,"2,7",09
8000-9589,040-049,0,"-,&",00
8000-9589,040-049,"1,3,5","0-2,5-7",01
8000-9589,040-049,"2,4,6",5-7,01
8000-9589,040-049,"1,3,5","4,9",03
8000-9589,040-049,"4,6",9,03
8000-9589,040-049,4,-,03
8000-9589,040-049,7-8,"0-3,5,9,&",04
8000-9589,040-049,"9,-","0-2,4-6,9,&",05
8000-9589,040-049,&,"1,3,6,8,&",08
8000-9589,040-049,-,-,09
8000-9589,040-049,&,"2,7",09
8000-9589,050,0,"-,&",00
8000-9589,050,"1,3,5","0,5",01
8000-9589,050,"2,4,6",5,01
8000-9589,050,"1,3,5","4,9",03
8000-9589,050,4,-,03
8000-9589,050,"4,6",9,03
8000-9589,050,7-8,"0-5,9,&",04
8000-9589,050,"9,-","0-2,9,&",05
8000-9589,050,&,"1,3,6,8,&",08
8000-9589,050,-,-,09
8000-9589,050,&,"2,7",09
8000-9589,051-052,0,"-,&",00
8000-9589,051-052,"1,3,5","0,5",01
8000-9589,051-052,"2,4,6",5,01
8000-9589,051-052,"1,3,5","1,6",02
8000-9589,051-052,"2,4,6",6,02
8000-9589,051-052,"1,3,5","4,9",03
8000-9589,051-052,4,-,03
8000-9589,051-052,"4,6",9,03
8000-9589,051-052,7-8,"0-5,9,&",04
8000-9589,051-052,"9,-","0-3,5,6,9,&",07
8000-9589,051-052,&,"1,3,6,8,&",08
8000-9589,051-052,-,-,09
8000-9589,051-052,&,"2,7",09
8000-9589,"060,061",0,-,00
8000-9589,"060,061","1,3,5","0,5",01
8000-9589,"060,061","2,4,6",5,01
8000-9589,"060,061",7-8,0,02
8000-9589,"060,061","1,3,5","4,9",03
8000-9589,"060,061",4,-,03
8000-9589,"060,061","4,6",9,03
8000-9589,"060,061",7-8,"1-3,9",04
8000-9589,"060,061","9,-",0,05
8000-9589,"060,061","9,-","1-3,5,9",07
8000-9589,"060,061",&,"1,3,6,8",08
8000-9589,"060,061",-,-,09
8000-9589,"060,061",&,"2,7",09
8000-9589,090-109,0,-,00
8000-9589,090-109,"1,3,5","0,2,5",01
8000-9589,090-109,7-8,"0,2,5,9",02
8000-9589,090-109,4,-,03
8000-9589,090-109,"3,5",9,03
8000-9589,090-109,"9,-",0-8,04
8000-9589,090-109,"9,-",9,05
8000-9589,090-109,&,"1,3,6,8",08
8000-9589,090-109,-,-,09
8000-9589,090-109,&,"2,7",09
8000-9589,110-119,0,-,00
8000-9589,110-119,"1,3,5","0,4",01
8000-9589,110-119,7-8,"0,4-5,&",02
8000-9589,110-119,"3,5",9,03
8000-9589,110-119,4,-,03
8000-9589,110-119,"9,-",0-8,04
8000-9589,110-119,"9,-",9,05
8000-9589,110-119,&,"1,3,6,8",08
8000-9589,110-119,-,-,09
8000-9589,110-119,&,"2,7",09
8000-9589,"129-139,141",0,-,00
8000-9589,"129-139,141","1,3,5","0,3,6",01
8000-9589,"129-139,141",7-8,"0,1,3,5-7,9",02
8000-9589,"129-139,141","3,5",9,03
8000-9589,"129-139,141",4,-,03
8000-9589,"129-139,141","9,-","0-3,5-8",04
8000-9589,"129-139,141","9,-",9,05
8000-9589,"129-139,141",&,"1,3,6,8",08
8000-9589,"129-139,141",-,-,09
8000-9589,"129-139,141",&,"2,7",09
8000-9589,"150,153",0,-,00
8000-9589,"150,153","1,3,5","0,1",01
8000-9589,"150,153","1,3,5",2,02
8000-9589,"150,153","3,5",9,03
8000-9589,"150,153",4,-,03
8000-9589,"150,153",7-8,0,04
8000-9589,"150,153",7-8,"1-2,9",05
8000-9589,"150,153","9,-","0-3,5,9",06
8000-9589,"150,153",&,"1,3,6,8",08
8000-9589,"150,153",-,-,09
8000-9589,"150,153",&,"2,7",09
8000-9589,"151,154",0,-,00
8000-9589,"151,154","1,3,5","0,1",01
8000-9589,"151,154","1,3,5",2,02
8000-9589,"151,154","3,5",9,03
8000-9589,"151,154",4,-,03
8000-9589,"151,154",7-8,0,04
8000-9589,"151,154",7-8,"1-3,5,9",05
8000-9589,"151,154","9,-","0-2,5,9",06
8000-9589,"151,154",&,"1,3,6,8",08
8000-9589,"151,154",-,-,09
8000-9589,"151,154",&,"2,7",09
8000-9589,"152,155",0,-,00
8000-9589,"152,155","1,3,5","0,1",01
8000-9589,"152,155","1,3,5",2,02
8000-9589,"152,155","3,5",9,03
8000-9589,"152,155",4,-,03
8000-9589,"152,155",7-8,0,04
8000-9589,"152,155",7-8,"1-3,9",05
8000-9589,"152,155","9,-",0,06
8000-9589,"152,155",&,"1,3,6,8",08
8000-9589,"152,155",-,-,09
8000-9589,"152,155",&,"2,7",09
8000-9589,160-169,0,-,00
8000-9589,160-169,1-6,"0,5",01
8000-9589,160-169,1-6,"1,6",02
8000-9589,160-169,"1,3,4-6","4,9",03
8000-9589,160-169,4,-,03
8000-9589,160-169,2,4,03
8000-9589,160-169,1-6,"2,7",04
8000-9589,160-169,"9,-","0,6",05
8000-9589,160-169,"9,-","4,2",06
8000-9589,160-169,1-6,"3,8",06
8000-9589,160-169,7-8,"0,1,4,9",06
8000-9589,160-169,"9,-","1,3,5,7-9",07
8000-9589,160-169,&,"1,3,6,8",08
8000-9589,160-169,-,-,09
8000-9589,160-169,7-8,5,09
8000-9589,160-169,&,"2,7",09
8000-9589,"180,182-187",0,"1-2,-",00
8000-9589,"180,182-187","1,3,5","0,5",01
8000-9589,"180,182-187","2,4,6",5,01
8000-9589,"180,182-187","1,3,5","1,6",02
8000-9589,"180,182-187","2,4,6",6,02
8000-9589,"180,182-187","1,3,5","3-4,8-9",03
8000-9589,"180,182-187","4,6",9,03
8000-9589,"180,182-187",4,-,03
8000-9589,"180,182-187","2,4,6",8,03
8000-9589,"180,182-187","1,3,5","2,7",04
8000-9589,"180,182-187","2,4,6",7,04
8000-9589,"180,182-185",7-8,"0-2,4,9",06
8000-9589,186-187,7-8,"0-1,4,9",06
8000-9589,"180,182","9,-","0-3,5,9",07
8000-9589,183-185,"9,-","0-3,5-6,9",07
8000-9589,186-187,"9,-","0-3,9",07
8000-9589,"180,182-187",&,"1,3,6,8",08
8000-9589,"180,182-187",-,-,09
8000-9589,"180,182-187",7-8,5,09
8000-9589,"180,182-187",&,"2,7",09
8000-9589,"199,209",0,"1-2,-",00
8000-9589,"199,209","1,3,5","0,5",01
8000-9589,"199,209","2,4,6",5,01
8000-9589,"199,209","1,3,5","1,6",02
8000-9589,"199,209","2,4,6",6,02
8000-9589,"199,209","1,3,5","3-4,8-9",03
8000-9589,"199,209","4,6",9,03
8000-9589,"199,209",4,-,03
8000-9589,"199,209","2,4,6",8,03
8000-9589,"199,209","1,3,5","2,7",04
8000-9589,"199,209","2,4,6",7,04
8000-9589,"199,209",7-8,"0-1,9",06
8000-9589,199,"9,-","0-3,5,9",07
8000-9589,209,"9,-","0-3,5-9",07
8000-9589,"199,209",&,"1,3,6,8",08
8000-9589,"199,209",-,-,09
8000-9589,"199,209",&,"2,7",09
8000-9589,210-218,0,-,00
8000-9589,210-218,"1,3,5","1,5",01
8000-9589,210-218,1,0,01
8000-9589,210-218,"2,4,6",5,01
8000-9589,210-218,"1,3,5","4,9",03
8000-9589,210-218,6,9,03
8000-9589,210-218,4,"-,9",03
8000-9589,210-218,7-8,"0-3,9",04
8000-9589,210-218,"9,-",1,05
8000-9589,210-218,"9,-","0,2-3,5-6,9",07
8000-9589,210-218,&,"1,3,6,8",08
8000-9589,210-218,-,-,09
8000-9589,210-218,&,"2,7",09
8000-9589,220-221,0,-,00
8000-9589,220-221,"1,3,5",0,01
8000-9589,220-221,"1,3,5",5,02
8000-9589,220-221,"3,5",9,03
8000-9589,220-221,4,-,03
8000-9589,220-221,7-8,0,04
8000-9589,220-221,7-8,"5,9",05
8000-9589,220-221,7-8,1,06
8000-9589,220-221,"9,-","0-3,9",06
8000-9589,220-221,&,"1,3,6,8",08
8000-9589,220-221,-,-,09
8000-9589,220-221,&,"2,7",09
8000-9589,239,0,-,00
8000-9589,239,"1,3,5","0,1",01
8000-9589,239,"1,3,5",2,02
8000-9589,239,4,-,03
8000-9589,239,"3,5",9,03
8000-9589,239,7-8,0,05
8000-9589,239,7-8,"1,5,9",06
8000-9589,239,"9,-","0-3,5",06
8000-9589,239,7-8,4,07
8000-9589,239,"9,-",9,07
8000-9589,239,&,"1,3,6,8",08
