Primary Site,EOD 2dig Digit 1,EOD 2dig Digit 2,EOD 2dig Node Recode
"000-004,006,040-052,060-061","0-4,7,9","0-9,&,-",00
"000-004,006,040-052,060-061",&,1,00
"000-004,006,040-052,060-061","5-6,8","0-9,&,-",05
"000-004,006,040-052,060-061",&,6,05
"000-004,006,040-052,060-061",-,"0-9,&",05
"000-004,006,040-052,060-061",&,"2-3,7-8",07
"000-004,006,040-052,060-061",-,-,09
"000-004,006,040-052,060-061",&,"&,0,4-5,9,-",09
"019-024,030-031,062,079-080,250-252,440-449","0,1-4,7,9","0-9,&,-",00
"019-024,030-031,062,079-080,250-252,440-449",&,1,00
"019-024,030-031,062,079-080,250-252,440-449","5-6,8","0-9,&,-",05
"019-024,030-031,062,079-080,250-252,440-449",&,6,05
"019-024,030-031,062,079-080,250-252,440-449",-,"0-9,&",05
"019-024,030-031,062,079-080,250-252,440-449",&,"2-3,7-8",07
"019-024,030-031,062,079-080,250-252,440-449",-,-,09
"019-024,030-031,062,079-080,250-252,440-449",&,"&,0,4-5,9,-",09
"090-139,141,210-211,220-221,569,620-629","0,1-4,7,9","0-9,&,-",00
"090-139,141,210-211,220-221,569,620-629",&,1,00
"090-139,141,210-211,220-221,569,620-629","5-6,8","0-9,&,-",05
"090-139,141,210-211,220-221,569,620-629",&,6,05
"090-139,141,210-211,220-221,569,620-629",-,"0-9,&",05
"090-139,141,210-211,220-221,569,620-629",&,"2-3,7-8",07
"090-139,141,210-211,220-221,569,620-629",-,-,09
"090-139,141,210-211,220-221,569,620-629",&,"&,0,4-5,9,-",09
150-155,"0,1-4,7,9","0-9,&,-",00
150-155,&,1,00
150-155,"5-6,8","0-9,&,-",02
150-155,&,6,02
150-155,-,"0-9,&",02
150-155,&,"2-3,7-8",07
150-155,-,-,09
150-155,&,"&,0,4-5,9,-",09
"160-169,340-349,570,619","0,1-4,7,9","0-9,&,-",00
"160-169,340-349,570,619",&,1,00
"160-169,340-349,570,619","5-6,8","0-9,&,-",05
"160-169,340-349,570,619",&,6,05
"160-169,340-349,570,619",-,"0-9,&",05
"160-169,340-349,570,619",&,"2-3,7-8",07
"160-169,340-349,570,619",-,-,09
"160-169,340-349,570,619",&,"&,0,4-5,9,-",09
"170-172,180,182-187,400-419,600-609","0,1-4,7,9","0-9,&,-",00
"170-172,180,182-187,400-419,600-609",&,1,00
"170-172,180,182-187,400-419,600-609","5-6,8","0-9,&,-",01
"170-172,180,182-187,400-419,600-609",&,6,01
"170-172,180,182-187,400-419,600-609",-,"0-9,&",01
"170-172,180,182-187,400-419,600-609",&,"2-3,7-8",07
"170-172,180,182-187,400-419,600-609",-,-,09
"170-172,180,182-187,400-419,600-609",&,"&,0,4-5,9,-",09
"199,209","0-4,7,9","0-9,&,-",00
"199,209",&,1,00
"199,209","5-6,8","0-9,&,-",01
"199,209",&,6,01
"199,209",-,"0-9,&",01
"199,209",&,"2-3,7-8",07
"199,209",-,-,09
"199,209",&,"0,4-5,9,-,&",09
"239,320-322,500-509,529-549","0-4,7,9","0-9,&,-",00
"239,320-322,500-509,529-549",&,1,00
"239,320-322,500-509,529-549","5-6,8","0-9,&,-",01
"239,320-322,500-509,529-549",&,6,01
"239,320-322,500-509,529-549",-,"0-9,&",01
"239,320-322,500-509,529-549",&,"2-3,7-8",07
"239,320-322,500-509,529-549",-,-,09
"239,320-322,500-509,529-549",&,"&,0,4-5,9,-",09
510-519,"0,1-4,7,9","0-9,&,-",00
510-519,&,1,00
510-519,"5-6,8","0-9,&,-",03
510-519,&,6,03
510-519,-,"0-9,&",03
510-519,&,"2-3,7-8",07
510-519,-,-,09
510-519,&,"&,0,4-5,9,-",09
"649,659,669,670-679","0,1-4,7,9","0-9,&,-",00
"649,659,669,670-679",&,1,00
"649,659,669,670-679","5-6,8","0-9,&,-",03
"649,659,669,670-679",&,6,03
"649,659,669,670-679",-,"0-9,&",03
"649,659,669,670-679",&,"2-3,7-8",07
"649,659,669,670-679",-,-,09
"649,659,669,670-679",&,"&,0,4-5,9,-",09
