Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
9140,000-809,0-9,0-9,9
"9590-9699,9710-9979",0-809,0-9,0-9,9
9700-9709,"0-439,450-809",0-99,0-99,9
"8000-9134,9141-9589",000-009,0,0-9,0
"8000-9134,9141-9589",000-009,"1,3","0,9",1
"8000-9134,9141-9589",000-009,"2,4","0,9",2
"8000-9134,9141-9589",000-009,"1,3,9","1-6,8",2
"8000-9134,9141-9589",000-009,"2,4","1-6,8",2
"8000-9134,9141-9589",000-009,"5,8",0-9,4
"8000-9134,9141-9589",000-009,"1-4,9",7,4
"8000-9134,9141-9589",000-009,9,"0,9",9
"8000-9134,9141-9589",019,4-7,"0,9",2
"8000-9134,9141-9589",019,4-7,"1-6,8",2
"8000-9134,9141-9589","019,020-029",0,"0,9",0
"8000-9134,9141-9589","019,020-029","1,3","0,9",1
"8000-9134,9141-9589","019,020-029","1,3,9","1-6,8",2
"8000-9134,9141-9589","019,020-029",8,0-9,4
"8000-9134,9141-9589","019,020-029","1,3-7,9",7,4
"8000-9134,9141-9589","019,020-029",9,"0,9",9
"8000-9134,9141-9589","020-023,028-029",5,"0-6,9",4
"8000-9134,9141-9589",020-029,"4,6-7","0,9",2
"8000-9134,9141-9589",020-029,"4,6-7","1-6,8",2
"8000-9134,9141-9589",024-027,5,"0,9",2
"8000-9134,9141-9589",024-027,5,"1-6,8",2
"8000-9134,9141-9589","030-039,062",0,0-9,0
"8000-9134,9141-9589","030-039,062","1,3","0,9",1
"8000-9134,9141-9589","030-039,062","4-5,7","0,9",2
"8000-9134,9141-9589","030-039,062","1,3,9","1-6,8",2
"8000-9134,9141-9589","030-039,062","4-5,7","1-6,8",2
"8000-9134,9141-9589","030-039,062",8,0-9,4
"8000-9134,9141-9589","030-039,062","1,3-5,7,9",7,4
"8000-9134,9141-9589","030-039,062",9,"0,9",9
"8000-9134,9141-9589",040-049,0,0-9,0
"8000-9134,9141-9589",040-049,"1,3","0,9",1
"8000-9134,9141-9589",040-049,4-5,"0,9",2
"8000-9134,9141-9589",040-049,"1,3,9","1-6,8",2
"8000-9134,9141-9589",040-049,4-5,"1-6,8",2
"8000-9134,9141-9589",040-049,8,0-9,4
"8000-9134,9141-9589",040-049,"1,3-5,9",7,4
"8000-9134,9141-9589",040-049,9,"0,9",9
"8000-9134,9141-9589",050,0,0-9,0
"8000-9134,9141-9589",050,"1,3","0,9",1
"8000-9134,9141-9589",050,4-5,"0,9",2
"8000-9134,9141-9589",050,"1,3,9","1-6,8",2
"8000-9134,9141-9589",050,4-5,"1-6,8",2
"8000-9134,9141-9589",050,"1,3-5,9",7,4
"8000-9134,9141-9589",050,8,0-9,4
"8000-9134,9141-9589",050,9,"0,9",9
"8000-9134,9141-9589",051-052,0,0-9,0
"8000-9134,9141-9589",051-052,1-3,"0,9",1
"8000-9134,9141-9589",051-052,"4,7","0,9",2
"8000-9134,9141-9589",051-052,"1-3,9","1-6,8",2
"8000-9134,9141-9589",051-052,"4,7","1-6,8",2
"8000-9134,9141-9589",051-052,"1-4,7,9",7,4
"8000-9134,9141-9589",051-052,8,0-9,4
"8000-9134,9141-9589",051-052,9,"0,9",9
"8000-9134,9141-9589","058-059,068-069",0,0-9,0
"8000-9134,9141-9589","058-059,068-069",1-3,"0,9",1
"8000-9134,9141-9589","058-059,068-069",4,"0,9",2
"8000-9134,9141-9589","058-059,068-069","1-3,9","1-6,8",2
"8000-9134,9141-9589","058-059,068-069",4,"1-6,8",2
"8000-9134,9141-9589","058-059,068-069","1-4,9",7,4
"8000-9134,9141-9589","058-059,068-069",8,0-9,4
"8000-9134,9141-9589","058-059,068-069",9,"0,9",9
"8000-9134,9141-9589",060-061,0,0-9,0
"8000-9134,9141-9589",060-061,"1,3","0,9",1
"8000-9134,9141-9589",060-061,"2,4-5,7","0,9",2
"8000-9134,9141-9589",060-061,"1,3,9","1-6,8",2
"8000-9134,9141-9589",060-061,"2,4-5,7","1-6,8",2
"8000-9134,9141-9589",060-061,"1-5,7,9",7,4
"8000-9134,9141-9589",060-061,8,0-9,4
"8000-9134,9141-9589",060-061,9,"0,9",9
"8000-9134,9141-9589",079-089,0,0-9,0
"8000-9134,9141-9589",079-089,"1,3","0,9",1
"8000-9134,9141-9589",079-089,4-5,"0,9",2
"8000-9134,9141-9589",079-089,"1,3,9","1,5,8",2
"8000-9134,9141-9589",079-089,4-5,"1,5,8",2
"8000-9134,9141-9589",079-089,8,0-9,4
"8000-9134,9141-9589",079-089,"1,3-5,9","2-3,7",4
"8000-9134,9141-9589",079-089,9,"0,9",9
"8000-9134,9141-9589",090-109,0,0-9,0
"8000-9134,9141-9589",090-109,"1,3","0,9",1
"8000-9134,9141-9589",090-109,"2,4-5","0,9",2
"8000-9134,9141-9589",090-109,"1,3,9","1-6,8",2
"8000-9134,9141-9589",090-109,"2,4-5","1-6,8",2
"8000-9134,9141-9589",090-109,"6,8",0-9,4
"8000-9134,9141-9589",090-109,"1-5,9",7,4
"8000-9134,9141-9589",090-109,9,"0,9",9
"8000-9134,9141-9589",110-119,0,0-9,0
"8000-9134,9141-9589",110-119,"1,3","0,9",1
"8000-9134,9141-9589",110-119,"2,4-5","0,9",2
"8000-9134,9141-9589",110-119,"1,3,9","1-6,8",2
"8000-9134,9141-9589",110-119,"2,4-5","1-6,8",2
"8000-9134,9141-9589",110-119,8,0-9,4
"8000-9134,9141-9589",110-119,"1-5,9",7,4
"8000-9134,9141-9589",110-119,9,"0,9",9
"8000-9134,9141-9589","129,130-139",0,0-9,0
"8000-9134,9141-9589","129,130-139","1,3","0,9",1
"8000-9134,9141-9589","129,130-139","2,4-5","0,9",2
"8000-9134,9141-9589","129,130-139","1,3,9","1-6,8",2
"8000-9134,9141-9589","129,130-139","2,4-5","1-6,8",2
"8000-9134,9141-9589","129,130-139",8,0-9,4
"8000-9134,9141-9589","129,130-139","1-5,9",7,4
"8000-9134,9141-9589","129,130-139",9,"0,9",9
"8000-9134,9141-9589","140,142,148",0,0-9,0
"8000-9134,9141-9589","140,142,148","1,3","0,9",1
"8000-9134,9141-9589","140,142,148",4,"0,9",2
"8000-9134,9141-9589","140,142,148","1,3,9","1-6,8",2
"8000-9134,9141-9589","140,142,148",4,"1-6,8",2
"8000-9134,9141-9589","140,142,148",8,0-9,4
"8000-9134,9141-9589","140,142,148","1,3-4,9",7,4
"8000-9134,9141-9589","140,142,148",9,"0,9",9
"8000-9134,9141-9589",150-159,0,0-9,0
"8000-9134,9141-9589",150-159,1-3,"0,9",1
"8000-9134,9141-9589",150-159,4-6,"0,9",2
"8000-9134,9141-9589",150-159,"1-3,9","1-3,8",2
"8000-9134,9141-9589",150-159,4-6,"1-3,8",2
"8000-9134,9141-9589",150-159,7-8,0-9,4
"8000-9134,9141-9589",150-159,"1-6,9",4-7,4
"8000-9134,9141-9589",150-159,9,"0,9",9
"8000-9134,9141-9589",160-169,0,0-9,0
"8000-9134,9141-9589",160-169,1-4,"0,9",1
"8000-9134,9141-9589",160-169,5-7,"0,9",2
"8000-9134,9141-9589",160-169,"1-4,9","1-2,5,8",2
"8000-9134,9141-9589",160-169,5-7,"1-2,5,8",2
"8000-9134,9141-9589",160-169,8,"0-2,5-9",4
"8000-9134,9141-9589",160-169,"1-7,9",6-7,4
"8000-9134,9141-9589",160-169,9,"0,9",9
"8000-9134,9141-9589",170,5-6,"0,9",2
"8000-9134,9141-9589",170,5-6,"1,8",2
"8000-9134,9141-9589",170,7-8,"0-1,7-9",4
"8000-9134,9141-9589",170,"1-6,9",7,4
"8000-9134,9141-9589","170-179,241",0,0-9,0
"8000-9134,9141-9589","170-179,241",1-4,"0,9",1
"8000-9134,9141-9589","170-179,241","1-4,9","1,8",2
"8000-9134,9141-9589","170-179,241",9,"0,9",9
"8000-9134,9141-9589","171-179,241",5-7,"0,9",2
"8000-9134,9141-9589","171-179,241",5-7,"1,8",2
"8000-9134,9141-9589","171-179,241",8,"0-1,7-9",4
"8000-9134,9141-9589","171-179,241","1-7,9",7,4
"8000-9134,9141-9589",180-189,0,0-9,0
"8000-9134,9141-9589",180-189,1-5,"0,9",1
"8000-9134,9141-9589",180-189,6-7,"0,9",2
"8000-9134,9141-9589",180-189,"1-5,9","1,8",2
"8000-9134,9141-9589",180-189,6-7,"1,8",2
"8000-9134,9141-9589",180-189,8,"0-1,7-9",4
"8000-9134,9141-9589",180-189,"1-7,9",7,4
"8000-9134,9141-9589",180-189,9,"0,9",9
"8000-9134,9141-9589",199,8,5-9,4
"8000-9134,9141-9589",199,"1-7,9",5-7,4
"8000-9134,9141-9589","199,209",0,0-9,0
"8000-9134,9141-9589","199,209",1-5,"0,9",1
"8000-9134,9141-9589","199,209",6-7,"0,9",2
"8000-9134,9141-9589","199,209","1-5,9","1,8",2
"8000-9134,9141-9589","199,209",6-7,"1,8",2
"8000-9134,9141-9589","199,209",8,"0-1,5-9",4
"8000-9134,9141-9589","199,209",9,"0,9",9
"8000-9134,9141-9589",209,"1-5,9","5,8",2
"8000-9134,9141-9589",209,6-7,"5,8",2
"8000-9134,9141-9589",209,"1-7,9",6-7,4
"8000-9134,9141-9589",210-218,0,0-9,0
"8000-9134,9141-9589",210-218,1-3,"0,9",1
"8000-9134,9141-9589",210-218,"4-5,7","0,9",2
"8000-9134,9141-9589",210-218,"1-3,9","1,5,8",2
"8000-9134,9141-9589",210-218,"4-5,7","1,5,8",2
"8000-9134,9141-9589",210-218,8,"0-3,5,7-9",4
"8000-9134,9141-9589",210-218,"1-7,9","2-3,7",4
"8000-9134,9141-9589",210-218,9,"0,9",9
"8000-9134,9141-9589",220-221,0,0-9,0
"8000-9134,9141-9589",220-221,1-3,"0,9",1
"8000-9134,9141-9589",220-221,4-6,"0,9",2
"8000-9134,9141-9589",220-221,"1-3,9","1-3,5,8",2
"8000-9134,9141-9589",220-221,4-6,"1-3,5,8",2
"8000-9134,9141-9589",220-221,"1-6,9",7,4
"8000-9134,9141-9589",220-221,7-8,"0-3,5,7-9",4
"8000-9134,9141-9589",220-221,9,"0,9",9
"8000-9134,9141-9589","239,248-249",0,0-9,0
"8000-9134,9141-9589","239,248-249",1-3,"0,9",1
"8000-9134,9141-9589","239,248-249",4-7,"0,9",2
"8000-9134,9141-9589","239,248-249","1-3,9","1,8",2
