Primary Site,Histology,Schema
"000,003","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",01
"001,004,006","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",02
"002,005,008,009","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",03
"019,024","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",04
"020-023,028-029","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",05
030,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",06
"031,062","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",07
039,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",08
"040-041,048-049","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",09
050,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",10
