Schema,Extension,Ext Recode
31,000,0
31,100,1
31,"300,310,430",1
31,420,2
31,520,2
31,"600,620",2
31,650,2
31,"700,710,780",2
31,"550,750,760,765",7
31,800,7
31,950,9
31,999,9
18,000,0
18,100,1
18,"200,305,355",1
18,300,1
18,310,1
18,320,2
18,330,2
18,340,2
18,350,2
18,360,2
18,370,2
18,380,7
18,390,2
18,430,7
18,435,2
18,450,2
18,470,2
18,500,2
18,620,2
18,650,2
18,660,7
18,670,7
18,680,7
18,690,7
18,700,7
18,"725,750",2
18,770,7
18,800,7
18,815,2
18,950,9
18,999,9
05,000,0
05,"100,110",1
05,200,1
05,"300,305,405,415",1
05,400,2
05,410,2
05,500,2
05,530,7
05,"535,545",2
05,"600,675",7
05,"700,725",2
05,"720,735",7
05,740,7
05,745,2
05,"750,760",7
05,775,2
05,"788,790,800,810",7
05,815,2
05,950,9
05,999,9
27,000,0
27,100,1
27,110,1
27,120,1
27,160,1
27,200,1
27,"300,310,320,330",1
27,400,2
27,600,2
27,700,2
27,750,2
27,800,7
27,850,2
27,950,9
27,999,9
04,000,0
04,"100,110",1
04,200,1
04,300,1
04,400,2
04,"405,410",1
04,"460,500",2
04,530,2
04,"600,640,645,650",2
04,610,2
04,620,2
04,710,2
04,715,2
04,720,2
04,740,7
04,"750,760",7
04,770,7
04,775,2
04,"780,790,795",7
04,800,7
04,"805,810,820",7
04,815,2
04,950,9
04,999,9
75,010,1
75,030,1
75,060,1
75,100,1
75,"150,155,170",1
75,160,1
75,165,2
75,"200,235,240",2
75,"210,215",2
75,220,2
75,"230,245",2
75,300,1
75,"400,430",2
75,"410,411,415",2
75,"420,421",2
75,"430,431",2
75,"450,810",2
75,600,2
75,630,2
75,650,2
75,670,2
75,"673,677",7
75,"680,700",2
75,"710,715,720,730,750",7
75,"800,801,802",7
75,"805,810",2
75,950,9
75,999,9
51,100,1
51,200,1
51,"300,310,350",1
51,400,2
51,600,2
51,700,2
51,800,7
51,"820,850",7
51,950,9
51,999,9
87,050,9
87,100,9
87,110,9
87,120,9
87,150,9
87,200,9
87,300,9
87,400,9
87,500,9
87,510,9
87,600,9
87,"700,710,750",9
87,800,9
87,950,9
87,999,9
58,000,0
58,050,6
58,070,6
58,"100,110,120,130,140",1
58,170,1
58,180,1
58,190,1
58,200,2
58,300,2
58,380,2
58,390,2
58,"400,410",2
58,510,2
58,512,2
58,"514,516,518,519",2
58,520,2
58,"575,580,585",2
58,590,2
58,600,7
58,"605,610,612,613,615",2
58,"620,680",2
58,710,7
58,715,7
58,720,7
58,725,7
58,730,7
58,750,7
58,780,7
58,790,2
58,950,9
58,999,9
13,000,0
13,"100,105",1
13,200,2
13,300,1
13,"405,410,415",1
13,500,2
13,"510,525",2
13,"600,605,610",2
13,"550,650,665",2
13,660,2
13,"620,670,740",7
13,700,2
13,"725,730",2
13,750,2
13,"753,755,788,790,795",7
13,"800,805,808,810",7
13,815,2
13,950,9
13,999,9
61,000,0
61,010,0
61,110,1
61,"120,135,140",1
61,200,1
61,"210,220",1
61,250,1
61,300,1
61,310,1
61,350,2
61,360,2
61,370,2
61,380,2
61,390,2
61,"400,410,420,440,450",2
61,"500,550",2
61,"600,605",2
61,"620,622,625",2
61,"630,635",2
61,"650,655,660",2
61,"680,685,690",7
61,"700,850,860",2
61,800,7
61,950,9
61,999,9
25,000,0
25,050,0
25,100,1
25,110,1
25,120,1
25,130,1
25,140,1
25,"150,155",1
25,"160,165",1
25,"170,190",1
25,"200,210,250,270",1
25,"300,320,330,335,370",1
25,"400,401",1
25,410,2
25,420,2
25,"450,451,458",2
25,"460,470,490",2
25,"500,501",1
25,"510,511,512,514,560",1
25,513,2
25,"550,565",2
25,570,2
25,"600,601",2
25,"650,655,675",7
25,660,7
25,"665,700",2
25,701,7
25,"750,751",7
25,"800,810",7
25,850,2
25,900,2
25,950,9
25,999,9
78,000,0
78,100,1
78,"110,120,140,150",1
78,"300,350",1
78,400,1
78,"500,510,530,550",2
78,"700,730",2
78,710,2
78,720,2
78,780,2
78,790,7
78,800,7
78,950,9
78,999,9
62,000,0
62,100,1
62,"110,114,115,116",1
62,120,1
62,"113,123",2
62,"124,125,126",1
62,"130,135",1
62,133,2
62,140,1
62,"143,145",2
62,"160,170",1
62,180,1
62,400,1
62,500,2
62,510,2
62,520,2
62,"523,525,540,545,550",2
62,530,1
62,"600,605",2
62,610,2
62,"620,635,645",2
62,630,2
62,640,2
62,"650,655,662,663,665",7
62,660,2
62,"670,675",2
62,"680,682,683",2
62,"685,688,690,692,693,694,698,699",2
62,"700,705,708,710,715,720,730",2
62,"800,810,820,850",2
62,950,9
62,999,9
22,000,0
22,100,1
22,110,1
22,"120,130,155",1
22,"160,165",1
22,170,1
22,200,1
22,"210,250",1
22,300,1
22,400,2
22,"450,560",2
22,600,2
22,"610,615",2
22,650,2
22,"660,680,728",7
22,"700,710,720,725",2
22,730,2
22,"740,745,750",7
22,780,7
22,800,7
22,810,7
22,815,2
