Schema,Mets,Mets Recode
31,00,6
31,10,7
31,40,7
31,"50,60",7
31,99,9
18,00,6
18,10,7
18,40,7
18,"50,60",7
18,99,9
05,00,6
05,10,7
05,40,7
05,"50,60",7
05,99,9
27,00,6
27,10,7
27,40,7
27,50,7
27,60,7
27,99,9
04,00,6
04,10,7
04,40,7
04,"50,60",7
04,99,9
75,00,6
75,10,7
75,11,7
75,40,7
75,50,7
75,55,7
75,60,7
75,99,9
51,00,6
51,10,7
51,"30,35",7
51,40,7
51,"50,53",7
51,55,7
51,60,7
51,99,9
87,00,9
87,"10,20,30,50",9
87,85,9
87,99,9
58,"00,05,07",6
58,10,7
58,40,7
58,42,7
58,44,7
58,50,7
58,60,7
58,99,9
13,00,6
13,10,7
13,40,7
13,50,7
13,60,7
13,99,9
61,00,6
61,10,7
61,40,7
61,50,7
61,"60,70,80",7
61,99,9
25,00,6
25,"05,07",7
25,08,7
25,10,7
25,"15,16,18",7
25,"20,23,25,26,27",7
25,"30,31,33",7
25,"35,36",7
25,40,7
25,"45,48",7
25,"50,55",7
25,60,7
25,99,9
78,00,6
78,10,7
78,40,7
78,50,7
78,99,9
62,00,6
62,11,7
62,12,7
62,40,7
62,"50,55",7
62,"60,70",7
62,99,9
22,00,6
22,10,7
22,11,7
22,12,7
22,15,7
22,40,7
22,50,7
22,60,7
22,99,9
40,00,6
40,10,7
40,40,7
40,"50,60",7
40,99,9
30,00,6
30,"07,10",7
30,"15,20",7
30,"40,45",7
30,"50,51,60",7
30,99,9
09,00,6
09,10,7
09,40,7
09,"50,60",7
09,99,9
64,00,6
64,"05,10",7
64,"20,40",7
64,"50,60",7
64,99,9
29,00,6
29,"10,15",7
29,40,7
29,50,7
29,51,7
29,60,7
29,99,9
42,00,6
42,10,7
42,40,7
42,"50,60",7
42,99,9
07,00,6
07,10,7
07,40,7
07,"50,60",7
07,99,9
06,00,6
06,10,7
06,40,7
06,50,7
06,99,9
10,00,6
10,10,7
10,40,7
10,"50,60",7
10,99,9
48,00,6
48,10,7
48,40,7
48,"50,60",7
48,99,9
93,"00,98,99",9
20,00,6
20,10,7
20,40,7
20,"50,60",7
20,99,9
91,98,9
73,00,6
73,"10,20",7
73,40,7
73,"50,55",7
73,60,7
73,99,9
84,00,6
84,10,7
84,40,7
84,"50,60",7
84,99,9
02,00,6
02,10,7
02,40,7
02,"50,60",7
02,99,9
01,00,6
01,10,7
01,40,7
01,50,7
01,99,9
28,00,6
28,10,7
28,"07,11,12,14",3
28,13,7
28,15,7
28,"16,17,18,20",7
28,40,7
28,50,7
28,51,7
28,"52,55,58",7
28,60,7
28,99,9
47,00,5
47,10,7
47,15,7
47,16,7
47,17,7
47,18,7
47,"20,21",7
47,23,7
47,24,7
47,"25,26",7
47,30,7
47,"32,33",7
47,35,1
47,"36,37",7
47,"38,39",7
47,"40,41",7
47,42,7
47,43,7
47,50,7
47,51,7
47,52,7
47,53,7
47,70,7
47,75,7
47,99,9
92,"00,20,30,35,40,50,60,98,99",9
55,00,9
55,"05,10,30,40,45,70",9
55,99,9
39,00,6
39,10,7
39,40,7
39,"50,60",7
39,99,9
54,00,6
54,05,7
54,10,7
54,"40,60",7
54,42,7
54,43,7
54,44,7
54,52,7
54,53,7
54,"54,55,56,57",7
54,99,9
82,00,6
82,10,7
82,40,7
82,"50,60",7
82,99,9
79,00,6
79,10,7
79,40,7
79,"50,60",7
79,99,9
81,00,6
81,10,7
81,40,7
81,50,7
81,99,9
83,00,6
83,10,7
83,40,7
83,"50,60",7
83,99,9
38,00,6
38,10,7
38,40,7
38,"50,60",7
38,99,9
37,00,6
37,10,7
37,40,7
37,"50,60",7
37,99,9
19,00,6
19,10,7
19,40,7
19,"50,60",7
19,99,9
85,00,6
85,10,7
85,40,7
85,"50,60",7
85,99,9
17,00,6
17,10,7
17,40,7
17,"50,60",7
17,99,9
65,00,6
65,10,7
65,40,7
65,"50,60",7
65,99,9
32,00,6
32,10,7
32,40,7
32,"50,60",7
32,99,9
88,00,9
88,10,9
88,40,9
88,"50,60",9
88,99,9
36,00,6
36,10,7
36,40,7
36,50,7
36,60,7
36,99,9
90,00,6
90,10,7
90,40,7
90,"50,60",7
90,99,9
80,00,6
80,10,7
80,40,7
80,"50,60",7
80,99,9
66,00,6
66,10,7
66,40,7
66,50,7
66,60,7
66,99,9
08,00,6
08,10,7
08,40,7
08,50,7
08,99,9
94,98,9
45,00,6
45,10,7
45,40,7
45,"50,60",7
45,99,9
03,00,6
03,10,7
03,40,7
03,50,7
03,99,9
71,00,6
71,10,7
71,40,7
71,50,7
71,99,9
12,00,6
12,10,7
12,40,7
12,"50,60",7
12,99,9
35,00,6
35,10,7
35,40,7
35,50,7
35,60,7
35,99,9
21,00,6
21,10,7
21,40,7
21,"50,60",7
21,99,9
50,00,6
50,10,7
50,40,7
50,"50,60",7
50,99,9
16,00,6
16,10,7
16,40,7
16,"50,60",7
16,99,9
41,00,6
41,10,7
41,40,7
41,"50,60",7
41,99,9
77,00,6
77,10,7
77,40,7
77,"50,60",7
77,99,9
63,00,6
63,10,7
63,40,7
63,50,7
63,"60,65,70",7
63,99,9
34,00,6
34,07,3
34,"10,20",7
34,"40,45",7
34,50,7
34,60,7
34,99,9
33,00,6
33,05,3
33,"07,10",7
33,"20,40,45",7
33,50,7
33,60,7
33,99,9
14,00,6
14,10,7
14,40,7
14,"50,60",7
14,99,9
68,00,6
68,10,7
68,40,7
68,"50,60",7
68,99,9
57,00,6
57,10,7
57,"40,45",7
57,"50,60,70",7
57,99,9
67,00,6
67,"10,12,15",7
67,20,3
67,"30,33",3
67,35,3
67,40,3
67,50,7
67,51,7
67,"52,55",7
67,60,7
67,70,7
67,"80,85",7
67,99,9
49,00,6
49,10,7
49,35,7
49,40,7
49,50,7
49,60,7
49,99,9
69,00,6
69,11,7
69,12,7
69,"20,30",7
69,"35,38",7
69,40,7
69,"45,60",7
69,50,7
69,"55,58",7
69,99,9
26,00,6
26,"05,08",7
26,10,7
26,11,7
26,"12,15,16,18",7
26,"25,26,27,29",7
26,"30,31,33",7
26,"35,36",7
26,40,7
26,"45,48",7
26,50,7
26,60,7
26,99,9
74,00,6
74,10,7
74,40,7
74,"50,60",7
74,99,9
86,00,6
86,10,7
86,30,7
86,40,7
86,50,7
86,55,7
86,80,7
86,99,9
72,00,6
72,10,7
72,40,7
72,"50,60",7
72,99,9
52,00,6
52,"10,15,20,30,35,37",7
52,"40,45",7
52,50,7
52,"55,60",7
52,99,9
53,00,6
53,10,7
53,20,7
53,40,7
53,"50,58,60",7
53,99,9
24,00,6
24,10,7
24,"08,11",3
24,40,7
24,50,7
24,60,7
24,99,9
11,00,6
11,10,7
11,40,7
11,50,7
11,60,7
11,99,9
56,00,6
56,10,7
56,40,7
56,"50,60",7
56,99,9
23,00,6
23,10,7
23,40,7
23,50,7
23,60,7
23,99,9
44,00,6
44,10,7
44,40,7
44,50,7
44,99,9
15,00,6
15,10,7
15,40,7
15,"50,60",7
15,99,9
43,00,6
43,10,7
43,40,7
43,"50,60",7
43,99,9
70,00,6
70,11,3
70,12,7
70,13,7
70,20,7
70,25,7
70,30,7
70,40,7
70,"45,60",7
70,99,9
89,00,6
89,10,7
89,11,7
89,12,7
89,40,7
89,50,7
89,51,7
89,60,7
89,99,9
46,00,6
46,10,7
46,40,7
46,50,7
46,60,7
46,99,9
76,00,6
76,10,7
76,40,7
76,"50,60",7
76,99,9
60,00,6
60,10,7
60,11,7
60,12,7
60,"20,22,25,27",7
60,30,7
60,35,7
60,40,7
60,"50,55,58",7
60,60,7
60,99,9
59,00,6
59,10,7
59,11,7
59,12,7
59,13,7
59,40,7
59,"50,55,60,70",7
59,99,9
