ICD-10-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
C000,C000,8000,3,9,,,
C001,C001,8000,3,9,,,
C002,C002,8000,3,9,,,
C003,C003,8000,3,9,,,
C004,C004,8000,3,9,,,
C005,C005,8000,3,9,,,
C006,C006,8000,3,9,,,
C007,C007,8000,3,9,,,
C008,C008,8000,3,9,,,
C009,C009,8000,3,9,,,
C010,C010,8000,3,9,,,
C011,C011,8000,3,9,,,
C012,C012,8000,3,9,,,
C013,C013,8000,3,9,,,
C014,C014,8000,3,9,,,
C015,C015,8000,3,9,,,
C016,C016,8000,3,9,,,
C017,C017,8000,3,9,,,
C018,C018,8000,3,9,,,
C019,C019,8000,3,9,,,
C020,C020,8000,3,9,,,
C021,C021,8000,3,9,,,
C022,C022,8000,3,9,,,
C023,C023,8000,3,9,,,
C024,C024,8000,3,9,,,
C025,C025,8000,3,9,,,
C026,C026,8000,3,9,,,
C027,C027,8000,3,9,,,
C028,C028,8000,3,9,,,
C029,C029,8000,3,9,,,
C030,C030,8000,3,9,,,
C031,C031,8000,3,9,,,
C032,C032,8000,3,9,,,
C033,C033,8000,3,9,,,
C034,C034,8000,3,9,,,
C035,C035,8000,3,9,,,
C036,C036,8000,3,9,,,
C037,C037,8000,3,9,,,
C038,C038,8000,3,9,,,
C039,C039,8000,3,9,,,
C040,C040,8000,3,9,,,
C041,C041,8000,3,9,,,
C042,C042,8000,3,9,,,
C043,C043,8000,3,9,,,
C044,C044,8000,3,9,,,
C045,C045,8000,3,9,,,
C046,C046,8000,3,9,,,
C047,C047,8000,3,9,,,
C048,C048,8000,3,9,,,
C049,C049,8000,3,9,,,
C050,C050,8000,3,9,,,
C051,C051,8000,3,9,,,
C052,C052,8000,3,9,,,
C053,C053,8000,3,9,,,
C054,C054,8000,3,9,,,
C055,C055,8000,3,9,,,
C056,C056,8000,3,9,,,
C057,C057,8000,3,9,,,
C058,C058,8000,3,9,,,
C059,C059,8000,3,9,,,
C060,C060,8000,3,9,,,
C061,C061,8000,3,9,,,
C062,C062,8000,3,9,,,
C063,C063,8000,3,9,,,
C064,C064,8000,3,9,,,
C065,C065,8000,3,9,,,
C066,C066,8000,3,9,,,
C067,C067,8000,3,9,,,
C068,C068,8000,3,9,,,
C069,C069,8000,3,9,,,
C070,C070,8000,3,9,,,
C071,C071,8000,3,9,,,
C072,C072,8000,3,9,,,
C073,C073,8000,3,9,,,
C074,C074,8000,3,9,,,
C075,C075,8000,3,9,,,
C076,C076,8000,3,9,,,
C077,C077,8000,3,9,,,
C078,C078,8000,3,9,,,
C079,C079,8000,3,9,,,
C080,C080,8000,3,9,,,
C081,C081,8000,3,9,,,
C082,C082,8000,3,9,,,
C083,C083,8000,3,9,,,
C084,C084,8000,3,9,,,
C085,C085,8000,3,9,,,
