ICD-9-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
140,C009,8000,3,9,0,Y,
1400,C000,8000,3,9,0,Y,
1401,C001,8000,3,9,0,Y,
1403,C003,8000,3,9,0,Y,
1404,C004,8000,3,9,0,Y,
1405,C005,8000,3,9,0,Y,
1406,C006,8000,3,9,0,Y,
1408,C009,8000,3,9,0,Y,
1409,C002,8000,3,9,0,Y,
141,C029,8000,3,9,0,Y,
1410,C019,8000,3,9,0,Y,
1411,C020,8000,3,9,0,Y,
1412,C021,8000,3,9,0,Y,
1413,C022,8000,3,9,0,Y,
1414,C023,8000,3,9,0,Y,
1415,C028,8000,3,9,0,Y,
1416,C024,8000,3,9,0,Y,
1418,C029,8000,3,9,0,Y,
1419,C029,8000,3,9,0,Y,
142,C089,8000,3,9,0,Y,
1420,C079,8000,3,9,0,Y,
1421,C080,8000,3,9,0,Y,
1422,C081,8000,3,9,0,Y,
1428,C088,8000,3,9,0,Y,
1429,C089,8000,3,9,0,Y,
143,C039,8000,3,9,0,Y,
1430,C030,8000,3,9,0,Y,
1431,C031,8000,3,9,0,Y,
1438,C039,8000,3,9,0,Y,
1439,C039,8000,3,9,0,Y,
144,C049,8000,3,9,0,Y,
1440,C040,8000,3,9,0,Y,
1441,C041,8000,3,9,0,Y,
1448,C048,8000,3,9,0,Y,
1449,C049,8000,3,9,0,Y,
145,C069,8000,3,9,0,Y,
1450,C060,8000,3,9,0,Y,
1451,C061,8000,3,9,0,Y,
1452,C050,8000,3,9,0,Y,
1453,C051,8000,3,9,0,Y,
1454,C052,8000,3,9,0,Y,
1455,C059,8000,3,9,0,Y,
1456,C062,8000,3,9,0,Y,
1458,C068,8000,3,9,0,Y,
1459,C069,8000,3,9,0,Y,
146,C109,8000,3,9,0,Y,
1460,C099,8000,3,9,0,Y,
1461,C090,8000,3,9,0,Y,
1462,C091,8000,3,9,0,Y,
1463,C100,8000,3,9,0,Y,
1464,C101,8000,3,9,0,Y,
1465,C108,8000,3,9,0,Y,
1466,C102,8000,3,9,0,Y,
1467,C103,8000,3,9,0,Y,
1468,C108,8000,3,9,0,Y,
1469,C109,8000,3,9,0,Y,
147,C119,8000,3,9,0,Y,
1470,C110,8000,3,9,0,Y,
1471,C111,8000,3,9,0,Y,
1472,C112,8000,3,9,0,Y,
1473,C113,8000,3,9,0,Y,
1478,C118,8000,3,9,0,Y,
1479,C119,8000,3,9,0,Y,
148,C139,8000,3,9,0,Y,
1480,C130,8000,3,9,0,Y,
1481,C129,8000,3,9,0,Y,
1482,C131,8000,3,9,0,Y,
1483,C132,8000,3,9,0,Y,
1488,C138,8000,3,9,0,Y,
1489,C139,8000,3,9,0,Y,
149,C148,8000,3,9,0,Y,
1490,C140,8000,3,9,0,Y,
1491,C142,8000,3,9,0,Y,
1498,C148,8000,3,9,0,Y,
1499,C140,8000,3,9,0,Y,
1500,C150,8000,3,9,0,Y,
1501,C151,8000,3,9,0,Y,
1502,C152,8000,3,9,0,Y,
1503,C153,8000,3,9,0,Y,
1504,C154,8000,3,9,0,Y,
1505,C155,8000,3,9,0,Y,
1508,C158,8000,3,9,0,Y,
1509,C159,8000,3,9,0,Y,
151,C169,8000,3,9,0,Y,
1510,C160,8000,3,9,0,Y,
1511,C164,8000,3,9,0,Y,
1512,C163,8000,3,9,0,Y,
1513,C161,8000,3,9,0,Y,
1514,C162,8000,3,9,0,Y,
1515,C165,8000,3,9,0,Y,
1516,C166,8000,3,9,0,Y,
1518,C168,8000,3,9,0,Y,
1519,C169,8000,3,9,0,Y,
152,C179,8000,3,9,0,Y,
1520,C170,8000,3,9,0,Y,
1521,C171,8000,3,9,0,Y,
1522,C172,8000,3,9,0,Y,
1523,C173,8000,3,9,0,Y,
1528,C178,8000,3,9,0,Y,
1529,C179,8000,3,9,0,Y,
1530,C183,8000,3,9,0,Y,
1531,C184,8000,3,9,0,Y,
1532,C186,8000,3,9,0,Y,
1533,C187,8000,3,9,0,Y,
1534,C180,8000,3,9,0,Y,
1535,C181,8000,3,9,0,Y,
1536,C182,8000,3,9,0,Y,
1537,C185,8000,3,9,0,Y,
1538,C188,8000,3,9,0,Y,
1539,C189,8000,3,9,0,Y,
1540,C199,8000,3,9,0,Y,
1541,C209,8000,3,9,0,Y,
1542,C211,8000,3,9,0,Y,
1543,C210,8000,3,9,0,Y,
1548,C212,8000,3,9,0,Y,
155,C220,8000,3,9,0,Y,
1550,C220,8170,3,9,0,Y,
1551,C221,8000,3,9,0,Y,
1552,C220,8000,3,9,0,Y,
1560,C239,8000,3,9,0,Y,
1561,C240,8000,3,9,0,Y,
1562,C241,8000,3,9,0,Y,
1568,C248,8000,3,9,0,Y,
1569,C249,8000,3,9,0,Y,
1570,C250,8000,3,9,0,Y,
1571,C251,8000,3,9,0,Y,
1572,C252,8000,3,9,0,Y,
1573,C253,8000,3,9,0,Y,
1574,C254,8000,3,9,0,Y,
1578,C257,8000,3,9,0,Y,
1579,C259,8000,3,9,0,Y,
1580,C480,8000,3,9,0,Y,
1588,C481,8000,3,9,0,Y,
1589,C482,8000,3,9,0,Y,
1590,C260,8000,3,9,0,Y,
1591,C422,9590,3,9,0,Y,
1598,C268,8000,3,9,0,Y,
1599,C269,8000,3,9,0,Y,
1600,C300,8000,3,9,0,Y,
1601,C301,8000,3,9,0,Y,
1602,C310,8000,3,9,0,Y,
1603,C311,8000,3,9,0,Y,
1604,C312,8000,3,9,0,Y,
1605,C313,8000,3,9,0,Y,
1608,C318,8000,3,9,0,Y,
1609,C319,8000,3,9,0,Y,
161,C329,8000,3,9,0,Y,
1610,C320,8000,3,9,0,Y,
1611,C321,8000,3,9,0,Y,
1612,C322,8000,3,9,0,Y,
