"State","County","RuralUrbanContinuum1993"
"AL","001",2
"AL","003",2
"AL","005",6
"AL","007",6
"AL","009",2
"AL","011",6
"AL","013",7
"AL","015",3
"AL","017",5
"AL","019",6
"AL","021",6
"AL","023",9
"AL","025",7
"AL","027",9
"AL","029",6
"AL","031",4
"AL","033",3
"AL","035",7
"AL","037",8
"AL","039",7
"AL","041",6
"AL","043",6
"AL","045",3
"AL","047",4
"AL","049",6
"AL","051",2
"AL","053",6
"AL","055",3
"AL","057",6
"AL","059",6
"AL","061",6
"AL","063",8
"AL","065",6
"AL","067",6
"AL","069",3
"AL","071",6
"AL","073",2
"AL","075",9
"AL","077",3
"AL","079",3
"AL","081",4
"AL","083",2
"AL","085",8
"AL","087",6
"AL","089",2
"AL","091",7
"AL","093",7
"AL","095",4
"AL","097",2
"AL","099",7
"AL","101",2
"AL","103",3
"AL","105",7
"AL","107",6
"AL","109",6
"AL","111",7
"AL","113",2
"AL","115",2
"AL","117",2
"AL","119",7
"AL","121",4
"AL","123",6
"AL","125",3
"AL","127",6
"AL","129",8
"AL","131",9
"AL","133",6
"AK","013",9
"AK","016",7
"AK","020",3
"AK","050",7
"AK","060",9
"AK","068",9
"AK","070",9
"AK","090",5
"AK","100",9
"AK","110",5
"AK","122",5
"AK","130",7
"AK","150",7
"AK","164",9
"AK","170",6
"AK","180",7
"AK","185",7
"AK","188",7
"AK","201",9
"AK","220",7
"AK","232",9
"AK","240",9
"AK","261",7
"AK","270",9
"AK","280",7
"AK","282",9
"AK","290",9
"AZ","001",5
"AZ","003",4
"AZ","005",5
"AZ","007",4
"AZ","009",7
"AZ","011",7
"AZ","012",7
"AZ","013",0
"AZ","015",2
"AZ","017",5
"AZ","019",2
"AZ","021",1
"AZ","023",6
"AZ","025",4
"AZ","027",3
"AR","001",7
"AR","003",7
"AR","005",7
"AR","007",3
"AR","009",7
"AR","011",7
"AR","013",9
"AR","015",7
"AR","017",7
"AR","019",7
"AR","021",7
"AR","023",6
"AR","025",8
"AR","027",7
"AR","029",6
"AR","031",5
"AR","033",3
"AR","035",1
"AR","037",6
"AR","039",7
"AR","041",7
"AR","043",7
"AR","045",2
"AR","047",6
"AR","049",9
"AR","051",4
"AR","053",6
"AR","055",7
"AR","057",6
"AR","059",6
"AR","061",7
"AR","063",7
"AR","065",9
"AR","067",7
"AR","069",3
"AR","071",7
"AR","073",8
"AR","075",7
"AR","077",6
"AR","079",8
"AR","081",6
"AR","083",6
"AR","085",2
"AR","087",8
"AR","089",9
"AR","091",3
"AR","093",4
"AR","095",7
"AR","097",9
"AR","099",7
"AR","101",9
"AR","103",7
"AR","105",8
"AR","107",7
"AR","109",9
"AR","111",6
"AR","113",7
"AR","115",5
"AR","117",8
"AR","119",2
"AR","121",7
"AR","123",6
"AR","125",2
"AR","127",6
"AR","129",9
"AR","131",3
"AR","133",7
"AR","135",7
"AR","137",9
"AR","139",5
"AR","141",8
"AR","143",3
"AR","145",4
"AR","147",7
"AR","149",7
"CA","001",0
"CA","003",9
"CA","005",6
"CA","007",3
"CA","009",6
"CA","011",6
"CA","013",0
"CA","015",7
"CA","017",1
"CA","019",2
"CA","021",6
"CA","023",5
"CA","025",4
"CA","027",7
"CA","029",2
"CA","031",4
"CA","033",6
"CA","035",6
"CA","037",0
"CA","039",2
"CA","041",0
"CA","043",8
"CA","045",4
"CA","047",3
"CA","049",7
"CA","051",7
"CA","053",2
"CA","055",0
"CA","057",4
"CA","059",0
"CA","061",1
"CA","063",6
"CA","065",0
"CA","067",0
"CA","069",6
"CA","071",0
"CA","073",0
"CA","075",0
"CA","077",2
"CA","079",3
"CA","081",0
"CA","083",2
"CA","085",0
"CA","087",0
"CA","089",3
"CA","091",8
"CA","093",7
"CA","095",0
"CA","097",0
"CA","099",2
"CA","101",3
"CA","103",6
"CA","105",6
"CA","107",2
"CA","109",6
"CA","111",0
"CA","113",0
"CA","115",3
"CO","001",0
"CO","003",7
"CO","005",0
"CO","007",9
"CO","009",9
"CO","011",9
"CO","013",0
"CO","014",0
"CO","015",7
"CO","017",9
"CO","019",8
"CO","021",9
"CO","023",9
"CO","025",8
"CO","027",8
"CO","029",7
"CO","031",0
"CO","033",9
"CO","035",1
"CO","037",7
"CO","039",8
"CO","041",2
"CO","043",6
"CO","045",7
"CO","047",8
"CO","049",9
"CO","051",7
"CO","053",9
"CO","055",6
"CO","057",9
"CO","059",0
"CO","061",9
"CO","063",7
"CO","065",7
"CO","067",7
"CO","069",3
"CO","071",7
"CO","073",8
"CO","075",7
"CO","077",5
"CO","079",9
"CO","081",7
"CO","083",7
"CO","085",7
"CO","087",6
"CO","089",6
"CO","091",9
"CO","093",8
"CO","095",9
