State,County,RuralUrbanContinuum2013
AL,001,2
AL,003,3
AL,005,6
AL,007,1
AL,009,1
AL,011,6
AL,013,6
AL,015,3
AL,017,6
AL,019,6
AL,021,1
AL,023,9
AL,025,7
AL,027,9
AL,029,8
AL,031,4
AL,033,3
AL,035,7
AL,037,8
AL,039,6
AL,041,8
AL,043,4
AL,045,4
AL,047,4
AL,049,6
AL,051,2
AL,053,6
AL,055,3
AL,057,6
AL,059,6
AL,061,3
AL,063,8
AL,065,3
AL,067,3
AL,069,3
AL,071,6
AL,073,1
AL,075,8
AL,077,3
AL,079,3
AL,081,3
AL,083,2
AL,085,2
AL,087,6
AL,089,2
AL,091,7
AL,093,7
AL,095,4
AL,097,2
AL,099,7
AL,101,2
AL,103,3
AL,105,8
AL,107,3
AL,109,6
AL,111,6
AL,113,2
AL,115,1
AL,117,1
AL,119,8
AL,121,4
AL,123,6
AL,125,3
AL,127,1
AL,129,8
AL,131,9
AL,133,6
AK,013,9
AK,016,9
AK,020,2
AK,050,7
AK,060,9
AK,068,8
AK,070,9
AK,090,3
AK,100,9
AK,105,9
AK,110,5
AK,122,7
AK,130,7
AK,150,7
AK,164,9
AK,170,2
AK,180,7
AK,185,7
AK,188,7
AK,195,9
AK,198,9
AK,220,7
AK,230,9
AK,240,9
AK,261,9
AK,270,9
AK,275,9
AK,282,9
AK,290,9
AZ,001,6
AZ,003,3
AZ,005,3
AZ,007,4
AZ,009,7
AZ,011,7
AZ,012,6
AZ,013,1
AZ,015,3
AZ,017,4
AZ,019,2
AZ,021,1
AZ,023,4
AZ,025,3
AZ,027,3
AR,001,6
AR,003,7
AR,005,7
AR,007,2
AR,009,7
AR,011,7
AR,013,9
AR,015,6
AR,017,7
AR,019,7
AR,021,7
AR,023,6
AR,025,3
AR,027,7
AR,029,6
AR,031,3
AR,033,2
AR,035,1
AR,037,6
AR,039,6
AR,041,6
AR,043,6
AR,045,2
AR,047,6
AR,049,9
AR,051,3
AR,053,2
AR,055,4
AR,057,6
AR,059,6
AR,061,6
AR,063,7
AR,065,9
AR,067,6
AR,069,3
AR,071,7
AR,073,8
AR,075,6
AR,077,7
AR,079,3
AR,081,3
AR,083,6
AR,085,2
AR,087,2
AR,089,9
AR,091,3
AR,093,4
AR,095,7
AR,097,8
AR,099,7
AR,101,9
AR,103,7
AR,105,2
AR,107,6
AR,109,9
AR,111,3
AR,113,7
AR,115,5
AR,117,8
AR,119,2
AR,121,7
AR,123,6
AR,125,2
AR,127,6
AR,129,9
AR,131,2
AR,133,6
AR,135,7
AR,137,9
AR,139,7
AR,141,8
AR,143,2
AR,145,4
AR,147,9
AR,149,6
CA,001,1
CA,003,8
CA,005,6
CA,007,3
CA,009,6
CA,011,6
CA,013,1
CA,015,7
CA,017,1
CA,019,2
CA,021,6
CA,023,5
CA,025,3
CA,027,7
CA,029,2
CA,031,3
CA,033,4
CA,035,7
CA,037,1
CA,039,3
CA,041,1
CA,043,8
CA,045,4
CA,047,2
CA,049,6
CA,051,7
CA,053,2
CA,055,3
CA,057,4
CA,059,1
CA,061,1
CA,063,7
CA,065,1
CA,067,1
CA,069,1
CA,071,1
CA,073,1
CA,075,1
CA,077,2
CA,079,2
CA,081,1
CA,083,2
CA,085,1
CA,087,2
CA,089,3
CA,091,8
CA,093,6
CA,095,2
CA,097,2
CA,099,2
CA,101,3
CA,103,4
CA,105,8
CA,107,2
CA,109,4
CA,111,2
CA,113,1
CA,115,3
CO,001,1
CO,003,7
CO,005,1
CO,007,7
CO,009,9
CO,011,7
CO,013,2
CO,014,1
CO,015,7
CO,017,9
CO,019,1
CO,021,9
CO,023,9
CO,025,8
CO,027,8
CO,029,6
CO,031,1
CO,033,9
CO,035,1
CO,037,5
CO,039,1
CO,041,2
CO,043,4
CO,045,5
CO,047,1
CO,049,7
CO,051,7
CO,053,9
CO,055,6
CO,057,9
CO,059,1
CO,061,9
CO,063,7
CO,065,6
CO,067,4
CO,069,2
CO,071,7
CO,073,8
CO,075,7
CO,077,3
CO,079,9
CO,081,7
CO,083,6
CO,085,4
CO,087,6
CO,089,6
CO,091,9
CO,093,1
CO,095,9
CO,097,7
CO,099,7
CO,101,3
CO,103,9
CO,105,7
CO,107,7
CO,109,9
CO,111,9
CO,113,9
CO,115,9
CO,117,5
CO,119,2
CO,121,9
CO,123,2
CO,125,7
CT,001,2
CT,003,1
CT,005,4
CT,007,1
CT,009,2
CT,011,2
CT,013,1
CT,015,2
DE,001,3
DE,003,1
DE,005,2
DC,001,1
FL,001,2
FL,003,1
FL,005,3
FL,007,6
FL,009,2
FL,011,1
FL,013,6
FL,015,3
FL,017,3
FL,019,1
FL,021,2
FL,023,4
FL,027,6
FL,029,6
FL,031,1
FL,033,2
FL,035,2
FL,037,6
FL,039,2
FL,041,2
FL,043,6
FL,045,3
FL,047,6
FL,049,6
FL,051,4
FL,053,1
FL,055,3
FL,057,1
FL,059,6
FL,061,3
FL,063,6
FL,065,2
FL,067,9
FL,069,1
FL,071,2
FL,073,2
FL,075,6
FL,077,8
FL,079,6
FL,081,2
FL,083,2
FL,085,2
FL,086,1
FL,087,4
FL,089,1
FL,091,3
FL,093,4
FL,095,1
FL,097,1
FL,099,1
FL,101,1
FL,103,1
FL,105,2
FL,107,4
FL,109,1
FL,111,2
FL,113,2
FL,115,2
FL,117,1
FL,119,3
FL,121,6
FL,123,6
FL,125,6
FL,127,2
FL,129,2
FL,131,3
FL,133,6
GA,001,7
GA,003,9
GA,005,7
GA,007,3
GA,009,4
GA,011,8
GA,013,1
GA,015,1
GA,017,7
GA,019,6
GA,021,3
GA,023,6
GA,025,3
GA,027,3
GA,029,2
GA,031,4
GA,033,2
GA,035,1
GA,037,8
GA,039,4
GA,043,7
GA,045,1
GA,047,2
GA,049,6
GA,051,2
GA,053,2
GA,055,6
GA,057,1
GA,059,3
GA,061,9
GA,063,1
GA,065,6
GA,067,1
GA,069,7
GA,071,6
GA,073,2
GA,075,6
GA,077,1
GA,079,3
GA,081,6
GA,083,2
GA,085,1
GA,087,6
GA,089,1
GA,091,6
GA,093,6
GA,095,3
GA,097,1
GA,099,6
GA,101,3
GA,103,2
GA,105,6
GA,107,7
GA,109,6
GA,111,8
GA,113,1
GA,115,3
GA,117,1
GA,119,8
GA,121,1
GA,123,6
GA,125,9
GA,127,3
GA,129,4
GA,131,6
GA,133,6
GA,135,1
GA,137,6
GA,139,3
GA,141,7
GA,143,1
GA,145,2
GA,147,6
GA,149,1
GA,151,1
GA,153,3
GA,155,7
GA,157,4
GA,159,1
GA,161,7
GA,163,6
GA,165,6
GA,167,7
GA,169,3
GA,171,1
GA,173,3
GA,175,5
GA,177,3
GA,179,3
GA,181,2
GA,183,3
GA,185,3
GA,187,6
GA,189,2
GA,191,3
GA,193,6
GA,195,3
GA,197,2
GA,199,1
GA,201,8
GA,205,6
GA,207,3
GA,209,9
GA,211,1
GA,213,3
GA,215,2
GA,217,1
GA,219,3
GA,221,3
GA,223,1
GA,225,3
GA,227,1
GA,229,6
GA,231,1
GA,233,4
GA,235,3
GA,237,6
GA,239,9
GA,241,7
GA,243,6
GA,245,2
GA,247,1
GA,249,8
GA,251,6
GA,253,6
GA,255,1
GA,257,7
GA,259,8
GA,261,6
GA,263,8
GA,265,8
GA,267,6
GA,269,8
GA,271,7
GA,273,3
GA,275,4
GA,277,5
GA,279,7
GA,281,9
GA,283,7
GA,285,4
GA,287,6
GA,289,3
GA,291,9
GA,293,6
GA,295,2
GA,297,1
GA,299,5
GA,301,8
GA,303,7
GA,305,6
GA,307,8
GA,309,9
GA,311,6
GA,313,3
GA,315,8
GA,317,6
GA,319,8
GA,321,3
HI,001,5
HI,003,2
HI,005,3
HI,007,5
HI,009,3
ID,001,2
ID,003,9
ID,005,3
ID,007,9
ID,009,6
ID,011,4
ID,013,7
ID,015,2
ID,017,6
ID,019,3
ID,021,7
ID,023,3
ID,025,9
ID,027,2
ID,029,6
ID,031,7
ID,033,9
ID,035,6
ID,037,8
ID,039,6
ID,041,3
ID,043,6
ID,045,2
ID,047,7
ID,049,6
ID,051,3
ID,053,7
ID,055,3
ID,057,4
ID,059,7
ID,061,8
ID,063,9
ID,065,4
ID,067,7
ID,069,3
ID,071,8
ID,073,2
ID,075,6
ID,077,6
ID,079,6
ID,081,9
ID,083,5
ID,085,8
ID,087,6
IL,001,5
IL,003,3
IL,005,1
IL,007,2
IL,009,7
IL,011,7
IL,013,1
IL,015,7
IL,017,6
IL,019,3
IL,021,6
IL,023,6
IL,025,7
IL,027,1
IL,029,5
IL,031,1
IL,033,7
IL,035,9
IL,037,1
IL,039,3
IL,041,6
IL,043,1
IL,045,6
IL,047,9
IL,049,7
IL,051,6
IL,053,3
IL,055,4
IL,057,6
IL,059,8
IL,061,6
IL,063,1
IL,065,7
IL,067,7
IL,069,9
IL,071,9
IL,073,2
IL,075,6
IL,077,3
IL,079,7
IL,081,7
IL,083,1
IL,085,6
IL,087,8
IL,089,1
IL,091,3
IL,093,1
IL,095,4
IL,097,1
IL,099,4
IL,101,7
IL,103,6
IL,105,4
IL,107,6
IL,109,5
IL,111,1
IL,113,3
IL,115,3
IL,117,1
IL,119,1
IL,121,4
IL,123,2
IL,125,6
IL,127,7
IL,129,3
IL,131,2
IL,133,1
IL,135,6
IL,137,4
IL,139,6
IL,141,4
IL,143,2
IL,145,6
IL,147,3
IL,149,7
IL,151,8
IL,153,8
IL,155,8
IL,157,6
IL,159,7
IL,161,2
IL,163,1
IL,165,6
IL,167,3
IL,169,7
IL,171,9
IL,173,6
IL,175,2
IL,177,4
IL,179,2
IL,181,6
IL,183,3
IL,185,7
IL,187,6
IL,189,6
IL,191,7
IL,193,6
IL,195,4
IL,197,1
IL,199,3
IL,201,2
IL,203,2
IN,001,6
IN,003,2
IN,005,3
IN,007,3
IN,009,6
IN,011,1
IN,013,1
IN,015,3
IN,017,4
IN,019,1
IN,021,3
IN,023,6
IN,025,8
IN,027,7
IN,029,1
IN,031,6
IN,033,4
IN,035,3
IN,037,5
IN,039,3
IN,041,6
IN,043,1
IN,045,6
IN,047,6
IN,049,7
IN,051,6
IN,053,4
IN,055,6
IN,057,1
IN,059,1
IN,061,1
IN,063,1
IN,065,4
IN,067,3
IN,069,6
IN,071,4
IN,073,1
IN,075,6
IN,077,6
IN,079,6
IN,081,1
IN,083,5
IN,085,4
IN,087,6
IN,089,1
IN,091,3
IN,093,6
IN,095,1
IN,097,1
IN,099,6
IN,101,7
IN,103,6
IN,105,3
IN,107,6
IN,109,1
IN,111,1
IN,113,6
IN,115,1
IN,117,6
