"State","County","Tract","UrbanPercentage","Indicator"
"AL","001","020100",91.963810538,2
"AL","001","020200",100,1
"AL","001","020300",100,1
"AL","001","020400",100,1
"AL","001","020500",98.708609272,2
"AL","001","020600",100,1
"AL","001","020700",95.379310345,2
"AL","001","020800",5.845890777,3
"AL","001","020900",0,4
"AL","001","021000",0,4
"AL","001","021100",0,4
"AL","003","010100",0,4
"AL","003","010200",5.69476082,3
"AL","003","010300",6.71171863,3
"AL","003","010400",2.2962629446,3
"AL","003","010500",93.889618922,2
"AL","003","010600",69.736842105,2
"AL","003","010701",94.423963134,2
"AL","003","010703",38.755890669,3
"AL","003","010704",100,1
"AL","003","010705",97.984341163,2
"AL","003","010800",97.409657819,2
"AL","003","010901",0,4
"AL","003","010902",50.043440487,2
"AL","003","011000",0,4
"AL","003","011100",44.032429559,3
"AL","003","011201",95.891065456,2
"AL","003","011202",91.137835338,2
"AL","003","011300",17.980900409,3
"AL","003","011401",7.7557517002,3
"AL","003","011403",0,4
"AL","003","011404",45.883180859,3
"AL","003","011500",64.355362947,2
"AL","003","011600",18.829370763,3
"AL","005","950100",19.635416667,3
"AL","005","950200",0,4
"AL","005","950300",0,4
"AL","005","950400",0,4
"AL","005","950500",2.0266518601,3
"AL","005","950600",36.871035941,3
"AL","005","950700",71.286610879,2
"AL","005","950800",75.317028986,2
"AL","005","950900",84.612002638,2
"AL","007","010000",0,4
"AL","007","010100",43.681847338,3
"AL","007","010200",7.1888006054,3
"AL","009","050101",32.10284401,3
"AL","009","050102",36.903690369,3
"AL","009","050200",0,4
"AL","009","050300",0,4
"AL","009","050400",0,4
"AL","009","050500",0,4
"AL","009","050600",0,4
"AL","009","050700",0,4
"AL","011","952100",0,4
"AL","011","952200",62.747559275,2
"AL","011","952300",0,4
"AL","011","952400",0,4
"AL","013","952700",26.846220678,3
"AL","013","952800",100,1
"AL","013","952900",23.860727087,3
"AL","013","953000",0,4
"AL","013","953100",58.60058309,2
"AL","013","953200",19.493220716,3
"AL","013","953300",0,4
"AL","013","953400",0,4
"AL","013","953500",0,4
"AL","015","000100",90.213358071,2
"AL","015","000200",100,1
"AL","015","000300",100,1
"AL","015","000400",89.620689655,2
"AL","015","000500",100,1
"AL","015","000600",100,1
"AL","015","000800",100,1
"AL","015","000900",83.61551065,2
"AL","015","001000",100,1
"AL","015","001100",85.465879265,2
"AL","015","001200",91.464546057,2
"AL","015","001300",100,1
"AL","015","001400",77.884344147,2
"AL","015","001500",60.592213489,2
"AL","015","001600",94.322344322,2
"AL","015","001700",100,1
"AL","015","001800",77.528934315,2
"AL","015","001900",0,4
"AL","015","002000",10.814226395,3
"AL","015","002101",93.886129156,2
"AL","015","002102",95.956570573,2
"AL","015","002103",76.515648938,2
"AL","015","002200",53.409090909,2
"AL","015","002300",52.065298046,2
"AL","015","002400",0,4
"AL","015","002501",34.694800301,3
"AL","015","002502",0,4
"AL","015","002600",0,4
"AL","017","953800",0,4
"AL","017","953900",73.376815891,2
"AL","017","954000",0,4
"AL","017","954200",25.231103861,3
"AL","017","954300",46.421125782,3
"AL","017","954400",100,1
"AL","017","954500",100,1
"AL","017","954600",100,1
"AL","017","954700",72.529971062,2
"AL","019","955700",0,4
"AL","019","955800",0,4
"AL","019","955900",0,4
"AL","019","956000",0,4
"AL","019","956100",0,4
"AL","021","060101",43.670754521,3
"AL","021","060102",48.372513562,3
"AL","021","060200",0,4
"AL","021","060300",0,4
"AL","021","060401",0,4
"AL","021","060402",0,4
"AL","021","060500",0,4
"AL","021","060600",0,4
"AL","021","060700",0,4
"AL","023","956700",0,4
"AL","023","956800",0,4
"AL","023","956900",0,4
"AL","023","957000",0,4
"AL","025","957500",0,4
"AL","025","957600",46.629613795,3
"AL","025","957700",0,4
"AL","025","957800",0,4
"AL","025","957901",9.510169006,3
"AL","025","957902",77.207167832,2
"AL","025","958000",0,4
"AL","027","958900",0,4
"AL","027","959000",0,4
"AL","027","959100",0,4
"AL","027","959200",0,4
"AL","029","959500",0,4
"AL","029","959600",0,4
"AL","029","959700",0,4
"AL","029","959800",0,4
"AL","031","010100",0,4
"AL","031","010200",0,4
"AL","031","010300",3.3227848101,3
"AL","031","010400",0,4
"AL","031","010500",0,4
"AL","031","010600",0,4
"AL","031","010700",0,4
"AL","031","010800",0,4
"AL","031","010900",76.830398517,2
"AL","031","011000",44.40380395,3
"AL","031","011100",100,1
"AL","031","011201",77.861771058,2
"AL","031","011202",99.427020507,2
"AL","031","011300",90.339892665,2
"AL","033","020100",100,1
"AL","033","020200",100,1
"AL","033","020300",100,1
"AL","033","020400",70.514511873,2
"AL","033","020500",80.475040258,2
