C000 External Upper Lip,"000-060, 990, 999"
C001 External Upper Lip,"000-070, 990, 999"
C002 External Lip NOS,"000-080, 990, 999"
C003 Mucosa of Upper Lip,"000-070, 990, 999"
C004 Mucosa of Lower Lip,"000-070, 990, 999"
C005 Mucosa of Lip NOS,"000-050, 990, 999"
C006 Commissure of Lip,"000-070, 990, 999"
C008 Overlapping lesion of Lip,"000-080, 990, 999"
C009 Lip NOS,"000-090, 990, 999"
C019 Base of Tongue NOS,"000-080, 990, 999"
C020 Dorsal Surface of Tongue NOS,"000-080, 990, 999"
C021 Border of Tongue NOS,"000-070, 990, 999"
C022 Ventral Surface of Tongue NOS,"000-070, 990, 999"
C023 Anterior 2/3 of Tongue NOS,"000-080, 990, 999"
C024 Lingual Tonsil,"000-070, 990, 999"
C028 Overlapping lesion of the tongue,"000-080, 990, 999"
C029 Tongue NOS,"000-090, 990, 999"
C030 Upper gum,"000-070, 990, 999"
C031 Lower gum,"000-090, 990, 999"
C039 Gum NOS,"000-080, 990, 999"
C040 Anterior floor of mouth,"000-080, 990, 999"
C041 Lateral floor of mouth,"000-080, 990, 999"
C048 Overlapping lesion of floor of mouth,"000-100, 990, 999"
C049 Floor of mouth NOS,"000-100, 990, 999"
C050 Hard Palate,"000-080, 990, 999"
C051 Soft Palate NOS,"000-080, 990, 999"
C052 Uvula,"000-060, 990, 999"
C058 Overlapping lesion of palate,"000-080, 990, 999"
C059 Palate NOS,"000-080, 990, 999"
C060 Cheek mucosa,"000-100, 990, 999"
C061 Vestibule of mouth,"000-070, 990, 999"
C062 Retromolar area,"000-080, 990, 999"
C068 Overlapping lesion of other & unspecified mouth,"000-100, 990, 999"
C069 Mouth NOS,"000-100, 990, 999"
C079 Parotid gland,"000-100, 990, 999"
C080 Submandibular gland,"000-100, 990, 999"
C081 Sublingual gland,"000-070, 990, 999"
C088 Overlapping lesion of major salivary glands,"000-070, 990, 999"
C089 Major salivary gland NOS,"000-100, 990, 999"
C090 Tonsillar fossa,"000-090, 990, 999"
C091 Tonsillar pillar,"000-070, 990, 999"
C098 Overlapping lesion of tonsil,"000-090, 990, 999"
C099 Tonsil NOS,"000-080, 990, 999"
C100 Vallecula,"000-070, 990, 999"
C101 Anterior surface of epiglottis,"000-060, 990, 999"
